mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-23977576.0,20002.0,10,101.48664808273315,False,,,1,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-45-20,1603331120,101.48664808273315,13871,aicon3,131.234.29.24,101.48664808273315,0,1,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11979912.0,20002.0,0,97.22345733642578,False,,,2,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-46-57,1603331217,198.71010541915894,13871,aicon3,131.234.29.24,198.71010541915894,0,2,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11988156.0,20002.0,9,96.82823204994202,False,,,3,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-48-34,1603331314,295.53833746910095,13871,aicon3,131.234.29.24,295.53833746910095,0,3,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11992404.0,20002.0,2,96.43960642814636,False,,,4,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-50-10,1603331410,391.9779438972473,13871,aicon3,131.234.29.24,391.9779438972473,0,4,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11972900.0,20002.0,8,96.44451642036438,False,,,5,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-51-47,1603331507,488.4224603176117,13871,aicon3,131.234.29.24,488.4224603176117,0,5,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-7072494.0,12018.4,5,64.77783679962158,False,,,6,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-52-52,1603331572,553.2002971172333,13871,aicon3,131.234.29.24,553.2002971172333,0,6,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-9507620.0,16012.0,0,81.28586602210999,False,,,7,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-54-13,1603331653,634.4861631393433,13871,aicon3,131.234.29.24,634.4861631393433,0,7,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-7064042.0,12020.0,26,64.53051328659058,False,,,8,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-55-17,1603331717,699.0166764259338,13871,aicon3,131.234.29.24,699.0166764259338,0,8,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4655372.0,8028.8,0,48.018097162246704,False,,,9,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-56-05,1603331765,747.0347735881805,13871,aicon3,131.234.29.24,747.0347735881805,0,9,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4891282.0,12021.0,1,65.48937320709229,False,,,10,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-57-11,1603331831,812.5241467952728,13871,aicon3,131.234.29.24,812.5241467952728,0,10,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-14288438.0,20002.0,5,97.22017788887024,False,,,11,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_03-58-48,1603331928,909.7443246841431,13871,aicon3,131.234.29.24,909.7443246841431,0,11,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11946424.0,20002.0,8,97.42593789100647,False,,,12,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-00-26,1603332026,1007.1702625751495,13871,aicon3,131.234.29.24,1007.1702625751495,0,12,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-7002864.0,12024.2,11,65.27667593955994,False,,,13,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-01-31,1603332091,1072.4469385147095,13871,aicon3,131.234.29.24,1072.4469385147095,0,13,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-7088362.0,12019.4,14,65.58400559425354,False,,,14,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-02-36,1603332156,1138.030944108963,13871,aicon3,131.234.29.24,1138.030944108963,0,14,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-7071342.0,12023.0,13,64.62139987945557,False,,,15,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-03-41,1603332221,1202.6523439884186,13871,aicon3,131.234.29.24,1202.6523439884186,0,15,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-2207608.0,4043.4,18,31.685349225997925,False,,,16,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-04-13,1603332253,1234.3376932144165,13871,aicon3,131.234.29.24,1234.3376932144165,0,16,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4618392.0,8030.8,23,48.11569333076477,False,,,17,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-05-01,1603332301,1282.4533865451813,13871,aicon3,131.234.29.24,1282.4533865451813,0,17,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-8369620.0,16013.4,4,81.6626832485199,False,,,18,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-06-23,1603332383,1364.1160697937012,13871,aicon3,131.234.29.24,1364.1160697937012,0,18,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-2233454.0,4042.2,15,31.941233158111572,False,,,19,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-06-54,1603332414,1396.0573029518127,13871,aicon3,131.234.29.24,1396.0573029518127,0,19,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4607232.0,8041.0,15,48.2082154750824,False,,,20,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-07-43,1603332463,1444.2655184268951,13871,aicon3,131.234.29.24,1444.2655184268951,0,20,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-1249738.0,8036.2,22,49.64314317703247,False,,,21,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-08-32,1603332512,1493.9086616039276,13871,aicon3,131.234.29.24,1493.9086616039276,0,21,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-9433528.0,16011.2,7,80.3274712562561,False,,,22,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-09-53,1603332593,1574.2361328601837,13871,aicon3,131.234.29.24,1574.2361328601837,0,22,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4612762.0,8036.0,11,48.12848377227783,False,,,23,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-10-41,1603332641,1622.3646166324615,13871,aicon3,131.234.29.24,1622.3646166324615,0,23,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11855096.0,20002.0,17,98.12819504737854,False,,,24,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-12-19,1603332739,1720.49281167984,13871,aicon3,131.234.29.24,1720.49281167984,0,24,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-10642904.0,20002.0,6,99.04245042800903,False,,,25,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-13-58,1603332838,1819.5352621078491,13871,aicon3,131.234.29.24,1819.5352621078491,0,25,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11880296.0,20002.0,7,99.4950852394104,False,,,26,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-15-37,1603332937,1919.0303473472595,13871,aicon3,131.234.29.24,1919.0303473472595,0,26,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11854964.0,20002.0,2,98.753502368927,False,,,27,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-17-16,1603333036,2017.7838497161865,13871,aicon3,131.234.29.24,2017.7838497161865,0,27,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-13039898.0,20002.0,17,99.07230997085571,False,,,28,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-18-55,1603333135,2116.8561596870422,13871,aicon3,131.234.29.24,2116.8561596870422,0,28,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-11930360.0,20002.0,19,98.02474641799927,False,,,29,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-20-33,1603333233,2214.8809061050415,13871,aicon3,131.234.29.24,2214.8809061050415,0,29,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-9485248.0,16008.4,30,82.17445707321167,False,,,30,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-21-55,1603333315,2297.055363178253,13871,aicon3,131.234.29.24,2297.055363178253,0,30,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4660974.0,8030.0,14,49.138829469680786,False,,,31,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-22-45,1603333365,2346.194192647934,13871,aicon3,131.234.29.24,2346.194192647934,0,31,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
-4692070.0,8034.6,27,49.716302156448364,False,,,32,d661f70a93b64d3eaf1b982658bcfd36,2020-10-22_04-23-34,1603333414,2395.9104948043823,13871,aicon3,131.234.29.24,2395.9104948043823,0,32,00256738,"1_gamma=0.99809,learning_rate=0.0018116,max_grad_norm=4.3429"
