mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-7549872.0,16013.6,12,81.50151014328003,False,,,24,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-19-58,1603336798,1832.9488546848297,13842,aicon3,131.234.29.24,1832.9488546848297,0,24,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-4851412.0,12025.6,7,64.7495129108429,False,,,25,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-21-03,1603336863,1897.6983675956726,13842,aicon3,131.234.29.24,1897.6983675956726,0,25,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-532972.0,12026.4,6,65.70996689796448,False,,,26,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-22-09,1603336929,1963.408334493637,13842,aicon3,131.234.29.24,1963.408334493637,0,26,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-7075060.0,12025.4,0,63.24259877204895,False,,,27,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-23-12,1603336992,2026.650933265686,13842,aicon3,131.234.29.24,2026.650933265686,0,27,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-2237104.0,8036.4,5,48.25843930244446,False,,,28,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-24-00,1603337040,2074.9093725681305,13842,aicon3,131.234.29.24,2074.9093725681305,0,28,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-4613066.0,8036.2,21,47.79914855957031,False,,,29,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-24-48,1603337088,2122.708521127701,13842,aicon3,131.234.29.24,2122.708521127701,0,29,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11861408.0,20002.0,9,96.30619621276855,False,,,30,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-26-24,1603337184,2219.0147173404694,13842,aicon3,131.234.29.24,2219.0147173404694,0,30,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-9683350.0,20002.0,13,97.49012207984924,False,,,31,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-28-02,1603337282,2316.5048394203186,13842,aicon3,131.234.29.24,2316.5048394203186,0,31,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-9413520.0,16010.4,13,80.78216791152954,False,,,32,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-29-22,1603337362,2397.287007331848,13842,aicon3,131.234.29.24,2397.287007331848,0,32,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-7007598.0,12024.0,17,64.70403814315796,False,,,33,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-30-27,1603337427,2461.991045475006,13842,aicon3,131.234.29.24,2461.991045475006,0,33,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-4642856.0,8029.2,15,48.418331146240234,False,,,34,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-31-16,1603337476,2510.4093766212463,13842,aicon3,131.234.29.24,2510.4093766212463,0,34,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-7117632.0,16012.6,21,81.12681555747986,False,,,35,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-32-37,1603337557,2591.536192178726,13842,aicon3,131.234.29.24,2591.536192178726,0,35,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-14228540.0,20002.0,17,97.37758827209473,False,,,36,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-34-14,1603337654,2688.913780450821,13842,aicon3,131.234.29.24,2688.913780450821,0,36,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-26224074.0,12027.0,27,65.1606810092926,False,,,37,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-35-19,1603337719,2754.0744614601135,13842,aicon3,131.234.29.24,2754.0744614601135,0,37,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-9457950.0,16012.0,24,80.3870747089386,False,,,38,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-36-40,1603337800,2834.461536169052,13842,aicon3,131.234.29.24,2834.461536169052,0,38,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
