#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-1740.0,7,18.18407
-2370.0,9,18.195591
-1980.0,9,18.21076
-1770,8,18.225322
-1680.0,8,18.236295
-2220.0,12,18.258267
-2040.0,9,18.27375
-2040.0,10,18.290361
-1890.0,8,18.301409
-1650,6,18.310945
-2130.0,11,18.331786
-1980.0,9,18.343957
-1770.0,8,18.360145
-1824.0,8,18.377012
-2226.0,10,18.395932
-1980.0,9,18.409077
-1920.0,8,18.425684
-1620.0,7,18.442651
-2130.0,11,18.466412
-1770.0,9,18.478302
-1780.0,8,18.494529
-1770.0,7,18.505336
-2526.0,13,18.529391
-1920.0,9,18.546932
-2010.0,9,18.563741
-2110.0,11,18.58352
-2240.0,14,18.60801
-1740.0,8,18.619724
-1680.0,8,18.63541
-1874.0,11,18.653094
-1830.0,7,18.664309
-2130.0,8,18.680543
-1950.0,9,18.697384
-1998.0,9,18.717144
-1746.0,8,18.729295
-2232.0,10,18.748337
-2010.0,8,18.766473
-1720.0,8,18.77798
-1890.0,8,18.792737
-1860.0,8,18.807992
-2100.0,9,18.820017
-2046.0,10,18.836536
-1800.0,7,18.850344
-1986.0,9,18.866339
-1770.0,7,18.876474
-1740.0,8,18.89151
-2076.0,12,18.910115
-1990.0,10,18.928989
-2130.0,9,18.948072
-1950.0,10,18.967489
-2040.0,11,18.986118
-1806.0,9,19.002815
-2538.0,14,19.028052
-2040.0,11,19.045987
-2400.0,10,19.064401
-1740.0,7,19.076187
-2286.0,12,19.09879
-1710.0,9,19.111391
-2070.0,11,19.133704
-2130.0,11,19.152079
-1740,6,19.161838
-1590,7,19.172544
-1980.0,8,19.188373
-1746.0,9,19.205147
-1920.0,8,19.216764
-1776.0,9,19.233453
-1920.0,9,19.250742
-1740.0,7,19.261514
-2106.0,10,19.28004
-2118.0,13,19.304558
-2650.0,14,19.331718
-2190.0,10,19.349442
-2400.0,12,19.369769
-2070.0,10,19.387737
-2190.0,9,19.404501
-1710.0,7,19.417352
-2190.0,8,19.433867
-1710.0,8,19.45045
-2190.0,9,19.462797
-1620.0,6,19.478035
-1870.0,10,19.49609
-2496.0,14,19.517161
-2100.0,11,19.540274
-1650.0,7,19.550884
-1890.0,9,19.567282
-1920.0,8,19.579834
-2160.0,10,19.59777
-1582.0,10,19.616527
-2070.0,10,19.636026
-1770.0,8,19.652521
-2130.0,9,19.669031
-1950.0,9,19.687234
-1740.0,8,19.6994
-1830.0,9,19.717125
-2550.0,13,19.743311
-1770.0,7,19.755354
-2010.0,8,19.771596
-1860.0,9,19.784188
-2040.0,11,19.805368
-1770.0,7,19.816833
-2040.0,9,19.834934
-1710.0,7,19.845585
-1620.0,8,19.860677
-2400.0,11,19.880494
-1710.0,7,19.891246
-2850.0,13,19.9143
-1830.0,10,19.933232
-1590.0,6,19.943716
-2130.0,8,19.959446
-2100.0,10,19.978127
-1704.0,8,19.98986
-1806.0,9,20.005301
-1980.0,11,20.022896
-1800.0,11,20.043837
-2040.0,10,20.06016
-1560,6,20.069862
-1510.0,9,20.086494
-1830.0,8,20.097784
-2076.0,9,20.113854
-1570.0,8,20.129498
-2130.0,13,20.148538
-1690.0,10,20.165295
-1860.0,8,20.180761
-1770.0,9,20.196177
-1764.0,9,20.208173
-2160.0,9,20.224183
-1690.0,9,20.240401
-1710.0,7,20.251306
-2106.0,10,20.268354
-1800.0,7,20.28281
-2064.0,12,20.302889
-2040.0,10,20.321004
-2820.0,16,20.347806
-2010.0,10,20.364741
-1890.0,8,20.380763
-1950.0,8,20.39647
-1770.0,8,20.410077
-2100.0,10,20.427325
-1920.0,7,20.443987
-2046.0,9,20.456496
-2040.0,9,20.472994
-1680.0,7,20.488494
-2190.0,13,20.509961
-1890.0,8,20.525616
-1680.0,8,20.537521
-1680.0,7,20.552243
-1920.0,9,20.568321
-2310.0,14,20.590229
-1920.0,9,20.606859
-1920.0,9,20.623463
-1950.0,9,20.639929
-1890.0,9,20.65608
-1740.0,9,20.667973
-1926.0,11,20.689745
-1610.0,10,20.707299
-2010.0,10,20.723872
-1920.0,8,20.735226
-2094.0,11,20.752274
-2220.0,11,20.773246
-1788.0,9,20.785609
-2070.0,10,20.803128
-1710.0,7,20.819747
-1770.0,7,20.830918
-1900.0,11,20.850384
-1776.0,8,20.866237
-1980.0,10,20.883811
-1864.0,13,20.908577
-2190.0,10,20.925667
-2190.0,9,20.938844
-2146.0,14,20.962926
-1746.0,8,20.977842
-2046.0,11,20.99588
-1800.0,6,21.005455
-2046.0,14,21.02853
-1920.0,8,21.044306
-1930.0,10,21.064714
-1896.0,9,21.077091
-2076.0,12,21.100048
-1620.0,8,21.11165
-2026.0,11,21.133575
-1830.0,7,21.144191
-1950.0,10,21.160784
-2040.0,10,21.179017
-1860.0,9,21.194926
-1786.0,11,21.212108
-1890.0,8,21.228065
-1920.0,9,21.240291
-1630.0,8,21.254945
-2286.0,11,21.272329
-2430.0,13,21.295723
-1740.0,8,21.307133
-1462.0,9,21.324945
-2040.0,10,21.341466
-1770.0,8,21.35643
-1840.0,9,21.374848
-2100.0,9,21.388049
-1866.0,9,21.405244
-1950.0,7,21.419801
-2556.0,13,21.440007
-2010.0,8,21.455462
-1896.0,9,21.472524
-1854.0,9,21.484974
-1860.0,7,21.499356
-2130.0,11,21.517516
-1570.0,13,21.545713
-1830.0,8,21.557286
-2040.0,10,21.574081
-1860.0,11,21.592649
-2160.0,10,21.610052
-2070.0,10,21.627249
-2040.0,11,21.649191
-2010.0,12,21.667895
-1800.0,9,21.684473
-2460.0,14,21.708475
-1980.0,11,21.726356
-1830.0,8,21.738134
-1580.0,10,21.754916
-1800.0,8,21.770601
-1756.0,11,21.788078
-1890.0,8,21.803189
-1878.0,12,21.822186
-1960.0,11,21.840098
-1920.0,10,21.857106
-1860.0,8,21.87277
-2544.0,15,21.897645
-2026.0,11,21.915109
-1980.0,10,21.93279
-2340.0,12,21.955911
-2490.0,13,21.975339
-2040.0,8,21.990281
-1890.0,9,22.006793
-1650.0,7,22.017395
-2070.0,8,22.032356
-1750.0,9,22.044138
-1920.0,8,22.059005
-1950.0,9,22.075322
-1830.0,7,22.086343
-1710.0,7,22.100613
-1890.0,10,22.117915
-2080.0,8,22.129935
-2616.0,13,22.153162
-1966.0,12,22.172321
-1950.0,9,22.188674
-1720.0,8,22.203769
-2310.0,12,22.222286
-2010.0,12,22.24082
-2310.0,10,22.257977
-2310.0,11,22.279754
-1860.0,10,22.296612
-2004.0,10,22.313529
-2190.0,10,22.331657
-1740.0,7,22.342206
-2130.0,9,22.357757
-2316.0,14,22.382635
-1710.0,8,22.394026
-1830.0,9,22.411767
-1890.0,9,22.430315
-1574.0,9,22.446959
-2220.0,14,22.467417
-2250.0,11,22.48907
-1830.0,9,22.50171
-1776.0,9,22.518517
-1912.0,13,22.543787
-2140.0,12,22.562557
-2430.0,18,22.598349
-1770.0,8,22.610004
-2140.0,13,22.634588
-2490.0,13,22.658093
-1920.0,10,22.675911
-1920.0,10,22.695853
-2310.0,12,22.714918
-1710.0,9,22.730898
-1710.0,7,22.741515
-1818.0,13,22.764802
-1986.0,9,22.78037
-2226.0,15,22.805922
-2472.0,13,22.825139
-1490.0,11,22.844473
-1920.0,15,22.870305
-1650.0,7,22.884714
-2190.0,11,22.902701
-2226.0,14,22.926977
-1794.0,9,22.943605
-2430.0,15,22.969179
-1830.0,9,22.981071
-1430.0,10,22.998008
-1620.0,7,23.012323
-2196.0,15,23.036725
-1950.0,9,23.052929
-2512.0,19,23.081097
-2010.0,10,23.097628
-1610.0,10,23.113817
-2992.0,20,23.146785
-1810.0,9,23.163116
-2106.0,12,23.18553
-1950.0,11,23.203747
-1650.0,8,23.215037
-1600.0,10,23.231935
-2550.0,9,23.247507
-1720.0,9,23.263662
-2226.0,10,23.280494
-2460.0,16,23.308388
-1830.0,8,23.323729
-1830.0,9,23.340018
-2346.0,11,23.357316
-1860.0,10,23.374812
-1710.0,9,23.390625
-2160.0,10,23.407047
-2334.0,16,23.433223
-2004.0,12,23.451857
-2292.0,12,23.474813
-1690.0,10,23.492115
-1860.0,8,23.503665
-1734.0,10,23.520566
-1858.0,12,23.54285
-2580.0,15,23.56778
-1920.0,9,23.579924
-1680.0,7,23.594326
-2490.0,15,23.620326
-1920.0,8,23.63167
-2010.0,10,23.647879
-1956.0,9,23.663674
-2332.0,17,23.694794
-2040.0,17,23.721883
-1950.0,10,23.739164
-1680.0,7,23.749373
-1950.0,10,23.7663
-2430.0,13,23.789629
-1950.0,9,23.805711
-2220.0,10,23.824107
-2116.0,12,23.842915
-2076.0,12,23.868281
-2280.0,12,23.886635
-1830.0,8,23.901929
-1866.0,11,23.919569
-2070.0,12,23.938281
-1800.0,9,23.953172
-1890.0,10,23.96921
-2316.0,13,23.991627
-1680.0,9,24.004135
-1966.0,11,24.02517
-2190.0,14,24.045646
-2070.0,14,24.069492
-2250.0,13,24.092088
-1824.0,10,24.109149
-2100.0,12,24.128112
-1650.0,10,24.146451
-2010.0,10,24.166018
-1986.0,12,24.189115
-2130.0,11,24.206433
-2310.0,12,24.224935
-1860.0,8,24.240223
-1510.0,7,24.250913
-1890.0,9,24.267838
-2280.0,12,24.286918
-1660.0,9,24.302434
-2010.0,16,24.328891
-2010.0,9,24.344951
-2196.0,13,24.36929
-1230.0,8,24.380989
-2520.0,12,24.406248
-1980.0,8,24.418402
-2856.0,17,24.449909
-1830.0,8,24.462286
-1764.0,9,24.479137
-2136.0,11,24.497045
-2250.0,10,24.518239
-2040.0,11,24.540565
-1860.0,12,24.558959
-1556.0,11,24.576404
-2040.0,12,24.59864
-1710.0,8,24.611153
-2130.0,10,24.627734
-2460.0,12,24.651002
-1800.0,10,24.667642
-1590.0,8,24.679338
-1860.0,13,24.702383
-2478.0,18,24.730488
-2100.0,13,24.755007
-1806.0,9,24.77176
-1770.0,9,24.789005
-2160.0,14,24.810052
-1840.0,12,24.832802
-2010.0,10,24.849342
-1756.0,11,24.867123
-1866.0,9,24.882861
-2250.0,11,24.899936
-2970.0,17,24.925327
-1830.0,9,24.943643
-1950.0,13,24.966772
-2010.0,14,24.990787
-1620.0,9,25.002909
-2050.0,14,25.026561
-1996.0,13,25.049604
-2622.0,20,25.083061
-2136.0,14,25.107591
-2130.0,12,25.125778
-1834.0,12,25.144827
-1816.0,11,25.166993
-2116.0,16,25.198726
-2016.0,14,25.224895
-2100.0,11,25.246598
-2010.0,11,25.268536
-1930.0,14,25.292197
-2040.0,12,25.310331
-2346.0,17,25.346195
-1750.0,16,25.372484
-2088.0,15,25.399271
-2256.0,12,25.418801
-2250.0,20,25.452891
-2766.0,17,25.483774
-1764.0,8,25.497492
-1930.0,19,25.53118
-1920.0,10,25.550764
-1830.0,9,25.566754
-2136.0,15,25.593384
-1614.0,11,25.612979
-1956.0,11,25.630916
-1890.0,11,25.648441
-1708.0,17,25.679065
-2820.0,20,25.7126
-1626.0,10,25.730233
-2130.0,12,25.748948
-1890.0,8,25.765569
-2544.0,22,25.80152
-1794.0,9,25.818255
-2016.0,12,25.838799
-1810.0,14,25.867443
-1900.0,14,25.893617
-1770.0,7,25.904727
-2190.0,14,25.929702
-2340.0,13,25.953032
-2610.0,21,25.98733
-1980.0,9,26.00627
-2220.0,15,26.036637
-1430.0,10,26.052727
-3066.0,20,26.09107
-1890.0,12,26.110542
-1966.0,15,26.134371
-1890.0,9,26.149641
-1484.0,17,26.176067
-1648.0,14,26.199575
-2418.0,17,26.231139
-2406.0,14,26.250658
-1472.0,24,26.29355
-1562.0,16,26.320711
-1906.0,20,26.354099
-1810.0,12,26.377194
-1770.0,9,26.39349
-1720.0,13,26.415087
-1966.0,18,26.45014
-1834.0,15,26.476178
-2236.0,22,26.515577
-1636.0,13,26.540972
-1676.0,14,26.564815
-2092.0,19,26.593492
-2116.0,18,26.627046
-2118.0,18,26.661301
-1706.0,15,26.688058
-1932.0,18,26.71659
-1660.0,15,26.744098
-2450.0,24,26.784493
-2436.0,24,26.826516
-1630.0,15,26.852711
-1956.0,20,26.892004
-1660.0,12,26.912292
-2010.0,11,26.934142
-3656.0,39,27.003415
-2400.0,14,27.03058
-1822.0,21,27.066897
-1802.0,31,27.122481
-1860.0,20,27.165223
-2384.0,22,27.205875
