#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-1680.0,6,6.012606
-2370.0,11,6.034853
-1800.0,8,6.047554
-1950.0,9,6.064406
-2130.0,8,6.080075
-2040.0,9,6.092405
-2346.0,11,6.113645
-2196.0,9,6.125819
-2310.0,10,6.142276
-1980.0,9,6.157753
-1800.0,8,6.17259
-1860.0,8,6.184405
-1860.0,7,6.199616
-1770.0,7,6.209333
-1950.0,10,6.227299
-1800.0,8,6.242866
-1800.0,9,6.258938
-1890.0,8,6.27036
-2040,7,6.284679
-1650.0,6,6.294214
-1680.0,6,6.303586
-1800.0,7,6.314025
-1776.0,8,6.329051
-2160.0,12,6.348073
-1710.0,7,6.362001
-1710.0,7,6.372261
-1980.0,8,6.387225
-1770.0,8,6.398118
-1860.0,8,6.412837
-1950.0,7,6.422857
-2100.0,8,6.437891
-2010.0,8,6.453062
-1800.0,9,6.465082
-1740.0,7,6.47958
-1690.0,8,6.491189
-1710.0,7,6.50503
-1770,5,6.515342
-2010.0,8,6.526152
-2010.0,10,6.542379
-1860.0,8,6.557468
-2166.0,8,6.573171
-2070.0,10,6.590283
-1920.0,9,6.602634
-1980.0,8,6.617301
-2280.0,11,6.63385
-2080.0,11,6.651195
-2370.0,11,6.67196
-1920.0,10,6.688894
-1956.0,9,6.700727
-2460.0,11,6.721861
-1770.0,7,6.731913
-1980.0,9,6.747274
-1830.0,7,6.757626
-2160.0,10,6.775194
-1794.0,9,6.79019
-2130.0,7,6.800559
-2070.0,9,6.815485
-1836.0,8,6.830377
-1770.0,8,6.841088
-1830.0,7,6.855114
-2346.0,10,6.872437
-1800.0,8,6.88345
-1980.0,7,6.898363
-2190.0,10,6.915803
-1860.0,9,6.932182
-2010.0,8,6.94392
-2280.0,10,6.961302
-2370.0,10,6.977816
-1620.0,7,6.992303
-1980.0,10,7.010002
-1830.0,8,7.021044
-1800.0,9,7.036932
-1920.0,8,7.051486
-1800.0,8,7.06251
-1620.0,6,7.072115
-1860.0,6,7.085294
-1770.0,7,7.09596
-1710.0,7,7.106659
-2100.0,10,7.122917
-2100.0,11,7.143377
