Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Response_Time(ms),Squid_Disk_Usage(mb),Cache_Disk_Usage(mb),Cache_Memory_Usage(kb)
2:15:17,0.05,MISS,661632,26.4,1769,223,17,652
2:15:22,0.05,MISS,661632,26.6,1712,223,17,656
2:15:27,0.05,MISS,661632,26.7,1725,223,17,660
2:15:33,0.05,MISS,661632,26.9,1684,223,17,664
2:15:38,0.05,MISS,661632,27,1695,223,17,668
2:15:43,0.05,MISS,661632,27.2,1718,223,17,672
2:15:48,0.05,MISS,661632,27.3,1755,223,17,676
2:15:53,0.05,MISS,661632,27.5,1726,223,17,680
2:15:59,0.05,MISS,661632,27.6,1654,223,17,684
2:16:04,0.05,MISS,661632,27.7,1723,223,17,688
2:16:09,0.05,MISS,661632,27.9,1695,223,17,692
2:16:14,0.05,MISS,661632,28,1713,223,17,696
2:16:20,0.05,MISS,661632,28.2,1761,223,17,700
2:16:25,0.05,MISS,661632,28.3,1681,223,17,704
2:16:30,0.05,MISS,661632,28.4,1764,223,17,708
2:16:35,0.05,MISS,662032,28.6,1692,223,17,712
2:16:40,0.05,MISS,662032,28.7,1728,223,17,716
2:16:46,0.05,MISS,662032,28.9,1707,223,17,720
2:16:51,0.05,MISS,662032,29,1699,223,17,724
2:16:56,0.05,MISS,662032,29.1,1713,223,17,728
2:17:01,0.05,MISS,662032,29.3,1730,223,17,732
2:17:07,0.05,MISS,662032,29.4,1740,223,17,736
2:17:12,0.05,MISS,662032,29.5,1733,223,17,740
2:17:17,0.05,MISS,662032,29.6,1757,223,17,744
2:17:22,0.05,MISS,662032,29.8,1736,223,17,748
2:17:28,0.05,MISS,662032,29.9,1748,223,17,752
2:17:33,0.05,MISS,662032,30,1717,223,17,756
2:17:38,0.05,MISS,662032,30.1,1776,223,17,760
2:17:43,0.05,MISS,662032,30.3,1684,223,17,764
2:17:48,0.05,MISS,662032,30.4,1731,223,17,768
2:17:54,0.05,MISS,662032,30.5,1693,223,17,772
2:17:59,0.05,MISS,662432,30.6,1731,223,17,776
2:18:04,0.05,MISS,662432,30.8,1757,223,17,780
2:18:09,0.05,MISS,662432,30.9,1699,223,17,784
2:18:15,0.05,MISS,662432,31,1763,223,17,788
2:18:20,0.05,MISS,662432,31.1,1730,223,17,792
2:18:25,0.05,MISS,662432,31.2,1836,223,17,796
2:18:30,0.05,MISS,662432,31.4,1688,223,17,800
2:18:36,0.05,MISS,662432,31.5,1745,223,17,804
2:18:41,0.05,MISS,662432,31.6,1707,223,17,808
2:18:46,0.05,MISS,662432,31.7,1708,223,17,812
2:18:51,0.05,MISS,662432,31.8,1690,223,17,816
2:18:56,0.06,MISS,662432,31.9,1706,223,17,820
2:19:02,0.06,MISS,662432,32.1,1731,223,17,824
2:19:07,0.06,MISS,662432,32.2,1702,223,17,828
2:19:12,0.06,MISS,662432,32.3,1723,223,17,832
2:19:17,0.06,MISS,662432,32.4,1679,223,17,836
2:19:23,0.06,MISS,662832,32.5,1731,223,17,840
2:19:28,0.06,MISS,662832,32.6,1727,223,17,844
2:19:33,0.06,MISS,662832,32.7,1705,223,17,848
2:19:38,0.06,MISS,662832,32.8,1748,223,17,852
2:19:43,0.06,MISS,662832,32.9,1686,223,17,856
2:19:49,0.06,MISS,662832,33.1,1788,223,17,860
2:19:54,0.06,MISS,662832,33.2,1712,223,17,864
2:19:59,0.06,MISS,662832,33.3,1753,223,17,868
2:20:04,0.06,MISS,662832,33.4,1703,223,17,872
2:20:10,0.06,MISS,662832,33.5,1704,223,17,876
2:20:15,0.06,MISS,662832,33.6,1784,223,17,880
2:20:20,0.06,MISS,662832,33.7,1671,223,17,884
2:20:25,0.06,MISS,662832,33.8,1757,223,17,888
2:20:30,0.06,MISS,662832,33.9,1695,223,17,892
2:20:36,0.06,MISS,662832,34,1749,223,17,896
2:20:41,0.06,MISS,662832,34.1,1686,223,17,900
2:20:46,0.06,MISS,663232,34.2,1732,223,17,904
2:20:51,0.06,MISS,663232,34.3,1707,223,17,908
2:20:57,0.06,MISS,663232,34.4,1718,223,17,912
2:21:02,0.06,MISS,663232,34.5,1795,223,17,916
2:21:07,0.06,MISS,663232,34.6,1702,223,17,920
2:21:12,0.06,MISS,663232,34.7,1743,223,17,924
2:21:18,0.06,MISS,663232,34.8,1688,223,17,928
2:21:23,0.06,MISS,663232,34.9,1767,223,17,932
2:21:28,0.06,MISS,663232,35,1686,223,17,936
2:21:33,0.06,MISS,663232,35.1,1732,223,17,940
2:21:38,0.06,MISS,663232,35.2,1712,223,17,944
2:21:44,0.06,MISS,663232,35.3,1674,223,17,948
2:21:49,0.06,MISS,663232,35.4,1751,223,17,952
2:21:54,0.06,MISS,663232,35.5,1741,223,17,956
2:21:59,0.06,MISS,663232,35.5,1773,223,17,960
2:22:05,0.06,MISS,663616,35.6,1723,223,17,964
2:22:10,0.06,MISS,663616,35.7,1761,223,17,968
2:22:15,0.06,MISS,663616,35.8,1713,223,17,972
2:22:20,0.06,MISS,663616,35.9,1776,223,17,976
2:22:26,0.06,MISS,663616,36,1751,223,17,980
2:22:31,0.06,MISS,663616,36.1,1739,223,17,984
2:22:36,0.06,MISS,663616,36.2,1726,223,17,988
2:22:41,0.06,MISS,663616,36.3,1747,223,17,992
2:22:47,0.06,MISS,663616,36.4,1733,223,17,996
2:22:52,0.06,MISS,663616,36.5,1706,223,17,1000
2:22:57,0.06,MISS,663616,36.5,1727,223,17,1004
