Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
17:45:28 17 569 221 0.28 660032
17:46:15 17 935 221 0.31 663184
17:47:04 17 1358 221 0.32 666256
17:47:50 17 1847 221 0.34 669424
17:48:53 17 2384 222 0.35 672592
17:49:45 17 2944 222 0.36 676816
17:50:57 17 3636 222 0.38 681040
17:51:55 18 4164 222 0.38 684208
17:52:53 18 4736 223 0.39 687376
17:54:00 18 5348 223 0.40 691648
17:54:56 18 5912 223 0.40 695104
17:56:45 18 7136 223 0.40 702480
18:02:41 19 8112 224 0.42 709328
18:08:05 19 8112 224 0.46 710128
18:12:06 20 8112 225 0.47 710128
18:12:40 20 8112 225 0.48 710128
18:13:26 20 8108 225 0.48 710128
18:15:32 20 8108 226 0.48 710128
18:16:40 20 8108 226 0.47 710128
18:17:49 20 8108 226 0.46 710128
18:18:58 20 8112 226 0.46 710128
18:20:03 20 8112 226 0.45 710128
18:21:03 21 8112 226 0.46 710128
18:22:22 21 8108 226 0.45 711168
18:23:35 21 8108 227 0.44 711168
18:24:44 21 8108 227 0.44 711168
18:26:02 21 8108 227 0.44 711168
18:27:18 21 8112 227 0.46 711168
18:27:56 21 8112 227 0.47 711168
18:28:36 22 8112 227 0.47 711168
18:29:15 22 8112 228 0.47 711168
18:29:53 22 8112 228 0.47 711168
18:30:32 22 8112 228 0.48 711168
18:31:11 22 8112 228 0.48 711168
18:32:20 22 8112 228 0.48 712224
18:34:01 22 8108 229 0.48 712224
18:35:30 23 8108 229 0.48 712224
18:36:00 23 8104 229 0.48 712224
18:36:27 23 8104 229 0.47 712224
18:36:54 23 8104 229 0.47 712224
18:37:20 23 8104 229 0.47 712224
18:37:47 23 8104 229 0.46 712224
18:38:14 23 8104 229 0.46 712224
18:38:41 23 8104 229 0.46 712224
18:39:10 23 8104 229 0.45 712224
18:39:47 23 8104 229 0.45 712224
18:40:31 23 8104 229 0.44 712224
18:41:22 23 8104 229 0.43 712224
18:42:15 23 8104 229 0.43 712224
18:43:06 23 8104 229 0.42 712224
18:43:56 23 8104 229 0.42 712224
18:44:47 23 8104 229 0.41 712224
18:45:38 23 8104 229 0.41 712224
18:46:27 23 8104 229 0.40 712224
18:47:18 23 8104 229 0.40 712224
18:48:09 23 8104 229 0.39 712224
18:48:59 23 8104 229 0.39 712224
18:49:55 23 8104 229 0.38 712224
18:51:02 23 8104 229 0.38 712224
18:52:06 23 8104 229 0.37 712224
18:53:09 23 8104 229 0.37 712224
18:54:17 23 8104 229 0.36 712224
18:55:19 23 8104 229 0.36 712224
18:56:25 23 8104 229 0.35 712224
18:57:28 23 8104 229 0.35 712224
18:58:27 23 8104 229 0.34 712224
18:59:25 23 8104 229 0.34 712224
19:00:24 23 8104 229 0.33 712224
19:01:23 23 8104 229 0.33 712224
19:02:22 23 8104 229 0.33 712224
19:03:20 23 8104 229 0.32 712224
19:04:13 23 8104 229 0.32 712224
19:05:14 23 8104 229 0.32 712224
19:06:19 23 8104 229 0.31 712224
19:07:32 23 8104 229 0.31 712224
19:10:34 23 8104 229 0.30 712224
19:13:51 23 8104 229 0.29 712224
19:16:35 23 8104 229 0.29 712224
19:18:58 23 8104 229 0.28 712224
19:20:43 23 8104 229 0.27 712224
19:23:03 23 8104 229 0.27 712224
19:25:29 23 8104 229 0.26 712224
19:28:01 23 8104 229 0.26 712224
19:30:14 23 8104 229 0.25 712224
19:32:41 23 8104 229 0.25 712224
19:35:38 23 8104 229 0.24 712224
19:39:05 23 8104 229 0.24 712224
19:40:52 23 8104 229 0.24 712224
19:42:46 23 8104 229 0.23 712224
19:45:18 23 8108 229 0.23 712224
19:47:29 23 8104 229 0.23 712224
19:49:40 23 8104 229 0.22 712224
19:52:01 23 8104 229 0.22 712224
19:54:33 23 8104 229 0.22 712224
19:57:01 23 8104 229 0.21 712224
