Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
16:07:49 23 8108 229 0.21 712384
16:08:23 23 8108 229 0.21 712384
16:08:59 23 8108 229 0.21 712384
16:09:34 23 8108 229 0.21 712384
16:10:07 23 8108 229 0.21 712384
16:10:39 23 8108 229 0.21 712384
16:11:13 23 8108 229 0.21 712384
16:11:48 23 8112 229 0.21 712384
16:12:21 23 8108 229 0.21 712384
16:12:54 23 8108 229 0.21 712384
16:13:26 23 8108 229 0.21 712384
16:14:01 23 8108 229 0.21 712384
16:14:34 23 8108 229 0.21 712384
16:15:06 23 8108 230 0.21 712384
16:15:40 23 8108 230 0.21 712384
16:16:15 23 8108 230 0.21 712384
16:16:50 23 8108 230 0.21 712384
16:17:24 23 8108 230 0.21 712384
16:18:00 23 8108 230 0.21 712384
16:18:36 23 8108 230 0.21 713424
16:19:12 23 8108 230 0.21 713424
16:19:46 23 8112 230 0.21 713424
16:20:22 23 8108 230 0.21 713424
16:20:57 23 8112 230 0.21 713424
16:21:33 24 8108 230 0.21 713424
16:22:08 24 8108 230 0.21 713424
16:22:45 24 8108 230 0.21 713424
16:23:21 24 8108 230 0.21 713424
16:24:08 24 8108 230 0.21 713424
16:24:56 24 8112 230 0.21 713424
16:25:37 24 8108 230 0.21 713424
16:26:22 24 8108 231 0.21 713424
16:27:06 24 8108 231 0.21 713904
16:27:44 24 8108 231 0.21 713904
16:28:25 24 8108 231 0.21 713904
16:29:12 24 8108 231 0.21 713904
16:29:49 24 8108 231 0.21 713904
16:30:27 24 8108 231 0.21 713904
16:31:01 24 8108 231 0.21 713904
16:31:37 24 8108 231 0.21 713904
16:32:13 24 8108 231 0.21 713904
16:32:49 24 8108 231 0.21 713904
16:33:26 24 8108 231 0.21 713904
16:34:03 24 8108 231 0.21 713904
16:34:38 24 8108 231 0.21 713904
16:35:17 25 8108 231 0.21 713904
16:35:56 25 8108 231 0.21 713904
16:36:34 25 8108 231 0.21 713904
16:37:11 25 8108 231 0.21 713904
16:37:49 25 8108 232 0.21 713904
16:38:25 25 8112 232 0.21 713904
16:39:01 25 8108 232 0.21 713904
16:39:37 25 8108 232 0.21 713904
16:40:14 25 8108 232 0.21 713904
16:40:50 25 8108 232 0.21 713904
16:41:28 25 8108 232 0.21 713904
16:42:04 25 8108 232 0.21 713904
16:42:42 25 8108 232 0.21 713904
16:43:19 25 8108 232 0.21 713904
16:43:58 25 8108 232 0.21 713904
16:44:35 25 8108 232 0.21 713904
16:45:13 25 8108 232 0.21 714944
16:45:51 25 8108 232 0.21 714944
16:46:27 25 8108 232 0.21 714944
16:47:06 25 8108 232 0.21 714944
16:47:47 25 8108 232 0.21 714944
16:48:29 25 8108 233 0.21 714944
16:49:09 26 8108 233 0.21 714944
16:49:47 26 8108 233 0.21 714944
16:50:26 26 8108 233 0.21 714944
16:51:04 26 8108 233 0.21 714944
16:51:43 26 8108 233 0.21 714944
16:52:27 26 8108 233 0.21 714944
16:53:10 26 8108 233 0.21 714944
16:53:50 26 8108 233 0.21 714944
16:54:34 26 8108 233 0.21 714944
16:55:22 26 8108 233 0.21 714944
16:56:04 26 8108 233 0.21 714944
16:57:24 26 8108 233 0.21 714944
16:59:23 26 8108 233 0.21 714944
17:01:37 26 8108 234 0.21 714944
17:05:44 26 8108 234 0.21 714944
17:07:15 27 8108 234 0.21 716000
17:09:41 27 8108 234 0.21 716048
17:12:00 27 8108 234 0.21 716048
17:14:08 27 8108 234 0.21 716048
17:16:24 27 8108 234 0.21 716048
17:18:55 27 8108 235 0.21 716048
17:21:33 27 8108 235 0.21 716048
17:24:29 27 8108 235 0.21 716048
17:27:40 28 8108 235 0.21 716048
17:30:41 28 8108 235 0.21 716048
17:33:41 28 8108 235 0.21 716048
17:36:45 28 8108 236 0.20 717088
17:40:14 28 8108 236 0.20 717088
17:44:03 28 8108 236 0.21 717088
17:46:54 28 8108 236 0.21 717088
17:49:50 29 8108 236 0.21 717088
17:52:21 29 8104 236 0.21 717088
17:54:54 29 8108 237 0.21 717088
17:57:14 29 8108 237 0.21 717088
17:59:30 29 8108 237 0.21 717088
18:01:57 29 8108 237 0.21 717088
18:04:51 29 8108 237 0.21 717088
18:07:33 29 8108 237 0.21 717088
18:10:13 29 8108 237 0.21 717584
18:13:15 29 8108 237 0.21 717584
18:16:40 29 8108 237 0.22 717584
18:19:02 29 8108 237 0.22 717584
18:21:20 29 8104 237 0.22 717584
18:23:31 29 8104 237 0.21 717584
18:26:21 29 8104 237 0.21 717584
18:28:58 29 8104 237 0.21 717584
18:32:09 29 8104 237 0.21 717584
18:33:09 29 8104 237 0.21 717584
18:34:19 29 8104 237 0.21 717584
18:35:47 29 8104 237 0.21 717584
18:38:16 29 8104 237 0.20 717584
18:40:54 29 8104 237 0.20 717584
18:43:17 29 8104 237 0.20 717584
18:46:01 29 8104 237 0.20 717584
18:47:25 29 8104 237 0.20 717584
18:48:40 29 8104 237 0.20 717584
18:49:50 29 8104 237 0.20 717584
18:51:05 29 8104 237 0.19 717584
18:52:31 29 8104 237 0.19 717584
18:53:36 29 8104 237 0.19 717584
18:54:40 29 8104 237 0.19 717584
18:56:01 29 8104 237 0.19 717584
18:57:08 29 8104 237 0.19 717584
18:58:34 29 8104 237 0.19 717584
18:59:51 29 8104 237 0.19 717584
19:01:01 29 8104 237 0.19 717584
19:02:43 29 8104 237 0.19 717584
19:04:02 29 8104 237 0.19 717584
19:05:37 29 8104 237 0.18 717584
19:07:32 29 8104 237 0.18 717584
19:09:20 29 8104 237 0.18 717584
19:11:04 29 8104 237 0.18 717584
19:11:55 29 8104 237 0.18 717584
19:12:32 29 8104 237 0.18 717584
19:13:09 29 8104 237 0.18 717584
19:13:52 29 8104 237 0.18 717584
19:14:38 29 8104 237 0.18 717584
19:15:25 29 8104 237 0.18 717584
19:16:13 29 8104 237 0.18 717584
19:16:56 29 8104 237 0.18 717584
19:17:46 29 8104 237 0.18 717584
19:18:41 29 8104 237 0.18 717584
19:19:29 29 8104 237 0.18 717584
19:20:12 29 8104 237 0.18 717584
19:20:55 29 8104 237 0.18 717584
19:21:37 29 8104 237 0.18 717584
19:22:19 29 8104 237 0.18 717584
19:23:03 29 8104 237 0.18 717584
19:23:43 29 8104 237 0.17 717584
19:24:34 29 8104 237 0.17 717584
19:26:25 29 8104 237 0.17 717584
19:27:47 29 8104 237 0.17 717584
19:29:12 29 8104 237 0.17 717584
19:29:53 29 8104 237 0.17 717584
19:30:37 29 8104 237 0.17 717584
19:31:14 29 8104 237 0.17 717584
19:31:56 29 8104 237 0.17 717584
19:32:43 29 8104 237 0.17 717584
19:33:31 29 8104 237 0.17 717584
19:34:12 29 8104 237 0.17 717584
19:34:53 29 8104 237 0.17 717584
19:35:40 29 8104 237 0.17 717584
19:36:33 29 8104 237 0.17 717584
19:37:24 29 8104 237 0.17 717584
19:38:15 29 8104 237 0.17 717584
19:38:56 29 8104 237 0.17 717584
19:39:37 29 8104 237 0.17 717584
19:40:19 29 8104 237 0.17 717584
19:41:03 29 8104 237 0.17 717584
19:41:44 29 8104 237 0.17 717584
19:42:31 29 8104 237 0.16 717584
19:43:18 29 8104 237 0.16 717584
19:43:59 29 8104 237 0.16 717584
19:44:43 29 8104 237 0.16 717584
19:45:22 29 8104 237 0.16 717584
19:46:03 29 8104 237 0.16 717584
19:46:50 29 8104 237 0.16 717584
19:47:40 29 8104 237 0.16 717584
19:48:27 29 8104 237 0.16 717584
19:49:17 29 8104 237 0.16 717584
19:49:58 29 8104 237 0.16 717584
19:50:44 29 8104 237 0.16 717584
19:51:26 29 8104 237 0.16 717584
19:52:11 29 8104 237 0.16 717584
19:52:57 29 8104 237 0.16 717584
19:53:46 29 8104 237 0.16 717584
19:54:29 29 8108 237 0.16 717584
19:55:15 29 8108 237 0.16 717584
19:56:01 29 8108 237 0.16 717584
19:57:00 29 8108 237 0.16 717584
19:57:59 29 8108 237 0.16 717584
19:58:56 29 8108 237 0.16 717584
19:59:40 29 8108 237 0.16 717584
20:00:24 29 8108 237 0.16 717584
20:01:16 29 8108 237 0.16 717584
20:02:19 29 8112 237 0.16 717584
20:03:13 29 8104 237 0.16 717584
20:04:04 29 8108 237 0.16 717584
20:04:48 29 8108 237 0.16 717584
20:05:30 29 8112 237 0.16 717584
20:06:13 29 8108 237 0.16 717584
20:07:03 29 8108 237 0.16 717584
20:08:03 29 8108 237 0.16 717584
20:08:59 29 8108 237 0.16 717584
20:09:49 29 8108 237 0.16 717584
20:10:32 29 8108 237 0.16 717584
20:11:14 29 8112 238 0.16 717584
20:12:07 29 8108 238 0.16 717584
20:12:54 29 8112 238 0.16 717584
20:13:46 29 8108 238 0.16 717584
20:14:43 29 8108 238 0.16 717584
20:15:37 29 8108 238 0.16 717584
20:16:31 29 8108 238 0.16 717584
20:17:22 29 8108 238 0.16 717584
20:18:21 29 8108 238 0.16 717584
20:19:21 29 8108 238 0.16 717584
20:20:15 29 8108 238 0.16 717584
20:21:11 29 8112 238 0.16 717584
20:22:09 29 8108 238 0.16 717584
20:22:59 29 8108 238 0.16 717584
20:23:50 29 8108 238 0.16 717584
20:24:42 29 8108 238 0.16 717584
20:25:29 29 8108 238 0.16 717584
20:26:13 29 8108 238 0.16 717584
20:26:58 29 8108 238 0.16 717584
20:27:45 29 8108 238 0.16 717584
20:28:39 29 8108 238 0.16 717584
20:29:30 29 8108 238 0.16 717584
20:30:22 29 8108 238 0.16 717584
20:31:14 29 8108 238 0.16 717584
20:32:03 29 8108 238 0.16 717584
20:32:54 29 8108 238 0.16 717584
20:33:39 29 8104 238 0.16 717584
20:34:26 29 8108 238 0.16 717584
20:35:10 29 8108 238 0.16 717584
20:36:01 29 8108 238 0.16 717584
20:36:46 29 8112 238 0.16 717584
20:37:34 29 8112 238 0.16 717584
20:38:28 29 8108 238 0.16 717584
20:39:28 29 8108 238 0.16 717584
20:40:22 29 8108 238 0.16 717584
20:41:04 29 8108 238 0.16 717584
20:41:50 29 8108 238 0.16 717584
20:42:41 29 8108 238 0.17 717584
20:43:37 29 8108 238 0.17 717584
20:44:33 29 8112 238 0.17 717584
20:45:29 29 8108 238 0.17 717584
20:46:16 29 8108 238 0.17 717584
20:46:58 29 8108 238 0.17 717584
20:47:44 29 8108 238 0.17 717584
20:48:30 29 8108 239 0.17 717584
20:49:22 29 8112 239 0.17 717584
20:50:20 29 8108 239 0.17 717584
20:51:17 29 8108 239 0.17 717584
20:52:05 29 8108 239 0.17 717584
20:52:49 29 8104 239 0.17 717584
06:52:56 29 8108 239 0.07 717584
06:53:56 29 8104 239 0.07 717584
06:54:51 29 8108 239 0.07 717584
06:55:42 29 8108 239 0.07 717584
06:56:33 29 8108 239 0.07 717584
06:57:23 29 8108 239 0.07 717584
06:58:13 29 8108 239 0.07 717584
06:59:04 29 8108 239 0.07 717584
06:59:56 29 8108 239 0.07 717584
07:00:48 29 8112 239 0.07 717584
07:01:50 29 8108 239 0.07 717584
07:02:51 29 8108 239 0.07 717584
07:03:48 29 8112 239 0.07 717584
07:04:50 29 8108 239 0.07 717584
07:06:10 29 8108 239 0.07 717584
07:07:54 29 8108 239 0.07 717584
07:09:31 29 8108 239 0.07 717584
07:10:53 29 8108 239 0.07 717584
07:12:14 29 8108 239 0.07 717584
07:13:31 29 8108 239 0.07 717584
07:14:48 29 8108 239 0.07 717584
07:16:09 29 8108 239 0.07 717584
07:18:04 29 8108 239 0.07 717584
07:20:36 29 8108 239 0.07 717584
07:22:29 29 8108 239 0.08 717584
07:23:21 29 8108 239 0.08 717584
07:24:25 29 8108 239 0.08 717584
07:25:59 29 8108 239 0.08 717584
07:26:53 29 8108 239 0.08 717584
07:27:49 29 8104 239 0.08 717584
07:28:45 29 8108 239 0.08 717584
07:29:44 29 8108 239 0.08 717584
07:30:48 30 8108 239 0.08 717584
07:31:46 30 8112 239 0.08 717584
07:32:42 30 8104 239 0.08 717584
07:33:33 30 8108 239 0.08 717584
07:34:20 30 8108 239 0.08 717584
07:35:01 30 8108 240 0.08 717584
07:35:42 30 8108 240 0.08 717584
07:36:29 30 8108 240 0.08 717584
07:37:20 30 8104 240 0.08 717584
07:38:11 30 8104 240 0.08 717584
07:39:02 30 8104 240 0.08 717584
07:39:55 30 8104 240 0.08 717584
07:40:50 30 8104 240 0.08 717584
07:41:42 30 8104 240 0.08 717584
07:42:39 30 8104 240 0.08 717584
07:43:26 30 8104 240 0.08 717584
07:44:05 30 8104 240 0.08 717584
07:44:52 30 8104 240 0.08 717584
07:45:50 30 8104 240 0.08 717584
07:46:44 30 8104 240 0.08 717584
07:47:30 30 8104 240 0.08 717584
07:48:15 30 8104 240 0.08 717584
07:49:01 30 8104 240 0.08 717584
07:49:45 30 8104 240 0.08 717584
07:50:38 30 8104 240 0.08 717584
07:51:49 30 8104 240 0.08 717584
07:53:00 30 8104 240 0.08 717584
07:54:14 30 8104 240 0.08 717584
07:55:45 30 8104 240 0.08 717584
07:57:04 30 8104 240 0.08 717584
07:57:38 30 8104 240 0.08 717584
07:58:12 30 8104 240 0.08 717584
07:58:46 30 8104 240 0.08 717584
07:59:22 30 8104 240 0.08 717584
08:00:00 30 8104 240 0.08 717584
08:00:37 30 8104 240 0.08 717584
08:01:15 30 8104 240 0.08 717584
08:01:53 30 8104 240 0.08 717584
08:02:57 30 8104 240 0.08 717584
08:04:01 30 8104 240 0.08 717584
08:04:51 30 8104 240 0.08 717584
08:05:28 30 8104 240 0.08 717584
08:06:09 30 8104 240 0.08 717584
08:06:50 30 8104 240 0.08 717584
08:07:30 30 8104 240 0.08 717584
08:08:10 30 8104 240 0.07 717584
08:08:49 30 8104 240 0.07 717584
08:09:27 30 8104 240 0.07 717584
08:10:05 30 8104 240 0.07 717584
08:10:45 30 8104 240 0.07 717584
08:11:22 30 8104 240 0.07 717584
08:11:59 30 8104 240 0.07 717584
08:12:37 30 8104 240 0.07 717584
08:13:19 30 8104 240 0.07 717584
08:14:03 30 8104 240 0.07 717584
08:15:38 30 8104 240 0.07 717584
08:16:37 30 8104 240 0.07 717584
08:18:18 30 8104 240 0.07 717584
08:20:26 30 8104 240 0.07 717584
08:22:34 30 8104 240 0.07 717584
08:24:47 30 8104 240 0.07 717584
08:26:43 30 8104 240 0.07 717584
08:28:44 30 8104 240 0.07 717584
