File Time Hit_Miss  Response_Time/ns
2021022111:47:51.html 18:51:25 MISS 167898931
2021022111:47:51.html 18:51:26 HIT 146628149
2021022111:47:56.html 18:51:26 MISS 168817420
2021022111:47:56.html 18:51:26 HIT 174584971
2021022111:48:01.html 18:51:26 MISS 178317173
2021022111:48:01.html 18:51:27 HIT 187041200
2021022111:48:06.html 18:51:27 MISS 181853671
2021022111:48:06.html 18:51:27 HIT 199152935
2021022111:48:11.html 18:51:28 MISS 145014243
2021022111:48:11.html 18:51:28 HIT 197426237
2021022111:48:16.html 18:51:28 MISS 188554525
2021022111:48:16.html 18:51:28 HIT 184773847
2021022111:48:21.html 18:51:29 MISS 289861727
2021022111:48:21.html 18:51:29 HIT 159651017
2021022111:48:26.html 18:51:29 MISS 200667023
2021022111:48:26.html 18:51:30 HIT 160360368
2021022111:48:31.html 18:51:30 MISS 168840276
2021022111:48:31.html 18:51:30 HIT 166245741
2021022111:48:36.html 18:51:31 MISS 221671747
2021022111:48:36.html 18:51:31 HIT 180227430
2021022111:48:43.html 18:51:31 MISS 167662173
2021022111:48:43.html 18:51:31 HIT 151838882
2021022111:48:48.html 18:51:32 MISS 190797639
2021022111:48:48.html 18:51:32 HIT 150901339
2021022111:48:53.html 18:51:32 MISS 154420018
2021022111:48:53.html 18:51:33 HIT 178570404
2021022111:48:58.html 18:51:33 MISS 197472220
2021022111:48:58.html 18:51:33 HIT 156303178
2021022111:49:03.html 18:51:33 MISS 173806210
2021022111:49:03.html 18:51:34 HIT 145985970
2021022111:49:08.html 18:51:34 MISS 166385451
2021022111:49:08.html 18:51:34 HIT 205668376
2021022111:49:13.html 18:51:35 MISS 174680379
2021022111:49:13.html 18:51:35 HIT 189180625
2021022111:49:18.html 18:51:35 MISS 184730524
2021022111:49:18.html 18:51:35 HIT 168341735
2021022111:49:23.html 18:51:36 MISS 175707677
2021022111:49:23.html 18:51:36 HIT 157180797
2021022111:49:28.html 18:51:36 MISS 176503089
2021022111:49:28.html 18:51:36 HIT 160921933
2021022111:49:33.html 18:51:37 MISS 228117116
2021022111:49:33.html 18:51:37 HIT 157068148
2021022111:49:38.html 18:51:37 MISS 165903572
2021022111:49:38.html 18:51:38 HIT 165636115
2021022111:49:43.html 18:51:38 MISS 224342054
2021022111:49:43.html 18:51:38 HIT 147372535
2021022111:49:48.html 18:51:38 MISS 164496124
2021022111:49:48.html 18:51:39 HIT 188317200
2021022111:49:53.html 18:51:39 MISS 181550903
2021022111:49:53.html 18:51:39 HIT 162257645
2021022111:49:58.html 18:51:40 MISS 171590205
2021022111:49:58.html 18:51:40 HIT 184361377
2021022111:50:03.html 18:51:40 MISS 162484051
