File Time Hit_Miss  Response_Time/ns
2021022111:47:51.html 14:39:01 MISS 129359722
2021022111:47:51.html 14:39:01 HIT 126213414
2021022111:47:56.html 14:39:01 MISS 121544243
2021022111:47:56.html 14:39:01 HIT 112963137
2021022111:48:01.html 14:39:02 MISS 133736487
2021022111:48:01.html 14:39:02 HIT 116590882
2021022111:48:06.html 14:39:02 MISS 133772003
2021022111:48:06.html 14:39:02 HIT 114276933
2021022111:48:11.html 14:39:02 MISS 128761160
2021022111:48:11.html 14:39:03 HIT 116997786
2021022111:48:16.html 14:39:03 MISS 113629328
2021022111:48:16.html 14:39:03 HIT 136097907
2021022111:48:21.html 14:39:03 MISS 123222006
2021022111:48:21.html 14:39:03 HIT 123516977
2021022111:48:26.html 14:39:04 MISS 119937639
2021022111:48:26.html 14:39:04 HIT 129547506
2021022111:48:31.html 14:39:04 MISS 122794445
2021022111:48:31.html 14:39:04 HIT 116877511
2021022111:48:36.html 14:39:04 MISS 138280756
2021022111:48:36.html 14:39:05 HIT 117256537
2021022111:48:43.html 14:39:05 MISS 121476505
2021022111:48:43.html 14:39:05 HIT 118494861
2021022111:48:48.html 14:39:05 MISS 139524084
2021022111:48:48.html 14:39:05 HIT 130362145
2021022111:48:53.html 14:39:06 MISS 136998723
2021022111:48:53.html 14:39:06 HIT 120347114
2021022111:48:58.html 14:39:06 MISS 142397593
2021022111:48:58.html 14:39:06 HIT 140352619
2021022111:49:03.html 14:39:06 MISS 155736991
2021022111:49:03.html 14:39:07 HIT 134569994
2021022111:49:08.html 14:39:07 MISS 143610635
2021022111:49:08.html 14:39:07 HIT 123502808
2021022111:49:13.html 14:39:07 MISS 127186269
2021022111:49:13.html 14:39:08 HIT 129577084
2021022111:49:18.html 14:39:08 MISS 137750934
2021022111:49:18.html 14:39:08 HIT 116387059
2021022111:49:23.html 14:39:08 MISS 151483077
2021022111:49:23.html 14:39:08 HIT 125762870
2021022111:49:28.html 14:39:09 MISS 141329292
2021022111:49:28.html 14:39:09 HIT 105175993
2021022111:49:33.html 14:39:09 MISS 136901613
2021022111:49:33.html 14:39:09 HIT 123797682
2021022111:49:38.html 14:39:09 MISS 126650644
2021022111:49:38.html 14:39:10 HIT 126350533
2021022111:49:43.html 14:39:10 MISS 119583356
2021022111:49:43.html 14:39:10 HIT 113047745
2021022111:49:48.html 14:39:10 MISS 119781566
2021022111:49:48.html 14:39:10 HIT 127809977
2021022111:49:53.html 14:39:11 MISS 136286909
2021022111:49:53.html 14:39:11 HIT 125292107
2021022111:49:58.html 14:39:11 MISS 137722496
2021022111:49:58.html 14:39:11 HIT 194663820
2021022111:50:03.html 14:39:11 MISS 127507224
2021022111:50:03.html 14:39:12 HIT 124610439
2021022111:50:08.html 14:39:12 MISS 120483574
2021022111:50:08.html 14:39:12 HIT 120521284
2021022111:50:13.html 14:39:12 MISS 119276473
2021022111:50:13.html 14:39:12 HIT 172067724
2021022111:50:18.html 14:39:13 MISS 191657252
2021022111:50:18.html 14:39:13 HIT 121576459
2021022111:50:23.html 14:39:13 MISS 126884127
2021022111:50:23.html 14:39:13 HIT 114882481
2021022111:50:28.html 14:39:14 MISS 141009460
2021022111:50:28.html 14:39:14 HIT 122111855
2021022111:50:33.html 14:39:14 MISS 141172401
2021022111:50:33.html 14:39:14 HIT 129893573
2021022111:50:38.html 14:39:14 MISS 145394843
2021022111:50:38.html 14:39:15 HIT 133755856
2021022111:50:43.html 14:39:15 MISS 126525072
2021022111:50:43.html 14:39:15 HIT 125006640
2021022111:50:48.html 14:39:15 MISS 140734043
2021022111:50:48.html 14:39:15 HIT 114592329
2021022111:50:53.html 14:39:16 MISS 145001170
2021022111:50:53.html 14:39:16 HIT 133250056
2021022111:50:58.html 14:39:16 MISS 126957624
2021022111:50:58.html 14:39:16 HIT 124060921
2021022111:51:03.html 14:39:16 MISS 128322960
2021022111:51:03.html 14:39:17 HIT 112554167
2021022111:51:08.html 14:39:17 MISS 141351397
2021022111:51:08.html 14:39:17 HIT 143305398
2021022111:51:13.html 14:39:17 MISS 139161820
2021022111:51:13.html 14:39:17 HIT 119536307
2021022111:51:18.html 14:39:18 MISS 154278796
2021022111:51:18.html 14:39:18 HIT 134775103
2021022111:51:23.html 14:39:18 MISS 141949210
2021022111:51:23.html 14:39:18 HIT 122232108
2021022111:51:28.html 14:39:19 MISS 126320732
2021022111:51:28.html 14:39:19 HIT 106013645
2021022111:51:33.html 14:39:19 MISS 111792215
2021022111:51:33.html 14:39:19 HIT 112848263
2021022111:51:38.html 14:39:19 MISS 142966596
2021022111:51:38.html 14:39:19 HIT 105395839
2021022111:51:43.html 14:39:20 MISS 127508731
2021022111:51:43.html 14:39:20 HIT 124583044
2021022111:51:48.html 14:39:20 MISS 121965201
2021022111:51:48.html 14:39:20 HIT 133047251
2021022111:51:53.html 14:39:20 MISS 125882432
2021022111:51:53.html 14:39:21 HIT 121365627
2021022111:51:58.html 14:39:21 MISS 125625063
2021022111:51:58.html 14:39:21 HIT 126679765
2021022111:52:03.html 14:39:21 MISS 118013492
2021022111:52:03.html 14:39:21 HIT 126166260
2021022111:52:08.html 14:39:22 MISS 149697818
2021022111:52:08.html 14:39:22 HIT 115199882
2021022111:52:13.html 14:39:22 MISS 129958712
2021022111:52:13.html 14:39:22 HIT 135440727
2021022111:52:18.html 14:39:23 MISS 130594997
2021022111:52:18.html 14:39:23 HIT 125776056
2021022111:52:23.html 14:39:23 MISS 134208266
2021022111:52:23.html 14:39:23 HIT 111128611
2021022111:52:28.html 14:39:23 MISS 209082211
2021022111:52:28.html 14:39:24 HIT 124400616
2021022111:52:33.html 14:39:24 MISS 130479057
2021022111:52:33.html 14:39:24 HIT 126868220
2021022111:52:38.html 14:39:24 MISS 125082413
2021022111:52:38.html 14:39:24 HIT 118087936
2021022111:52:43.html 14:39:25 MISS 129944330
2021022111:52:43.html 14:39:25 HIT 110417941
2021022111:52:48.html 14:39:25 MISS 119147037
2021022111:52:48.html 14:39:25 HIT 117226585
2021022111:52:53.html 14:39:25 MISS 142561331
2021022111:52:53.html 14:39:26 HIT 188360009
2021022111:52:58.html 14:39:26 MISS 126645799
2021022111:52:58.html 14:39:26 HIT 122357557
2021022111:53:03.html 14:39:26 MISS 121403445
2021022111:53:03.html 14:39:26 HIT 122624419
2021022111:53:08.html 14:39:27 MISS 135539050
2021022111:53:08.html 14:39:27 HIT 132669338
2021022111:53:13.html 14:39:27 MISS 123249277
2021022111:53:13.html 14:39:27 HIT 119379024
2021022111:53:18.html 14:39:27 MISS 136764114
2021022111:53:18.html 14:39:28 HIT 134162386
2021022111:53:23.html 14:39:28 MISS 144160126
2021022111:53:23.html 14:39:28 HIT 139534334
2021022111:53:28.html 14:39:28 MISS 140025993
2021022111:53:28.html 14:39:29 HIT 113462500
2021022111:53:33.html 14:39:29 MISS 131397989
2021022111:53:33.html 14:39:29 HIT 128322896
2021022111:53:38.html 14:39:29 MISS 153104934
2021022111:53:38.html 14:39:29 HIT 128186248
2021022111:53:43.html 14:39:30 MISS 131180326
2021022111:53:43.html 14:39:30 HIT 113090141
2021022111:53:48.html 14:39:30 MISS 141572540
2021022111:53:48.html 14:39:30 HIT 130950279
2021022111:53:53.html 14:39:30 MISS 128461852
2021022111:53:53.html 14:39:31 HIT 109565682
2021022111:53:58.html 14:39:31 MISS 126359585
2021022111:53:58.html 14:39:31 HIT 126490358
2021022111:54:03.html 14:39:31 MISS 126745567
2021022111:54:03.html 14:39:31 HIT 121885754
2021022111:54:08.html 14:39:32 MISS 130780979
2021022111:54:08.html 14:39:32 HIT 129515438
2021022111:54:13.html 14:39:32 MISS 138662442
2021022111:54:13.html 14:39:32 HIT 122319808
2021022111:54:18.html 14:39:32 MISS 130028374
2021022111:54:18.html 14:39:33 HIT 111546158
2021022111:54:23.html 14:39:33 MISS 127150577
2021022111:54:23.html 14:39:33 HIT 118514947
2021022111:54:28.html 14:39:33 MISS 141119172
2021022111:54:28.html 14:39:33 HIT 121237656
2021022111:54:33.html 14:39:34 MISS 180801724
2021022111:54:33.html 14:39:34 HIT 114364182
2021022111:54:38.html 14:39:34 MISS 122959243
2021022111:54:38.html 14:39:34 HIT 109973129
2021022111:54:43.html 14:39:34 MISS 129241217
2021022111:54:43.html 14:39:35 HIT 117351164
2021022111:54:48.html 14:39:35 MISS 147334166
2021022111:54:48.html 14:39:35 HIT 126985034
2021022111:54:53.html 14:39:35 MISS 145922744
2021022111:54:53.html 14:39:36 HIT 153494304
2021022111:54:58.html 14:39:36 MISS 120133023
2021022111:54:58.html 14:39:36 HIT 111212863
2021022111:55:03.html 14:39:36 MISS 120328655
2021022111:55:03.html 14:39:36 HIT 117926067
2021022111:55:08.html 14:39:36 MISS 146829105
2021022111:55:08.html 14:39:37 HIT 116356871
2021022111:55:13.html 14:39:37 MISS 118170195
2021022111:55:13.html 14:39:37 HIT 118658129
2021022111:55:18.html 14:39:37 MISS 126458047
2021022111:55:18.html 14:39:37 HIT 111411641
2021022111:55:23.html 14:39:38 MISS 134969240
2021022111:55:23.html 14:39:38 HIT 126354789
2021022111:55:28.html 14:39:38 MISS 131919887
2021022111:55:28.html 14:39:38 HIT 127848053
2021022111:55:33.html 14:39:38 MISS 134910262
2021022111:55:33.html 14:39:39 HIT 111300661
2021022111:55:38.html 14:39:39 MISS 133784175
2021022111:55:38.html 14:39:39 HIT 121265869
2021022111:55:43.html 14:39:39 MISS 130648899
2021022111:55:43.html 14:39:39 HIT 129854513
2021022111:55:48.html 14:39:40 MISS 158979843
2021022111:55:48.html 14:39:40 HIT 110360696
2021022111:55:53.html 14:39:40 MISS 129491121
2021022111:55:53.html 14:39:40 HIT 125754944
2021022111:55:58.html 14:39:41 MISS 124636250
2021022111:55:58.html 14:39:41 HIT 107964362
2021022111:56:03.html 14:39:41 MISS 124114837
2021022111:56:03.html 14:39:41 HIT 123576709
2021022111:56:08.html 14:39:41 MISS 122531577
2021022111:56:08.html 14:39:41 HIT 113840588
2021022111:56:13.html 14:39:42 MISS 148676893
2021022111:56:13.html 14:39:42 HIT 120275416
2021022111:56:18.html 14:39:42 MISS 115158863
2021022111:56:18.html 14:39:42 HIT 145395637
2021022111:56:23.html 14:39:43 MISS 167656622
2021022111:56:23.html 14:39:43 HIT 114841404
2021022111:56:28.html 14:39:43 MISS 123213020
2021022111:56:28.html 14:39:43 HIT 113030875
2021022111:56:33.html 14:39:43 MISS 130820854
2021022111:56:33.html 14:39:44 HIT 115846540
2021022111:56:38.html 14:39:44 MISS 129292780
2021022111:56:38.html 14:39:44 HIT 114646227
2021022111:56:43.html 14:39:44 MISS 161665189
2021022111:56:43.html 14:39:44 HIT 123093379
2021022111:56:48.html 14:39:45 MISS 132074247
2021022111:56:48.html 14:39:45 HIT 127321269
2021022111:56:53.html 14:39:45 MISS 126574490
2021022111:56:53.html 14:39:45 HIT 128527705
2021022111:56:58.html 14:39:45 MISS 121953026
2021022111:56:58.html 14:39:46 HIT 130526029
2021022111:57:03.html 14:39:46 MISS 131138228
2021022111:57:03.html 14:39:46 HIT 117384997
2021022111:57:08.html 14:39:46 MISS 126062630
2021022111:57:08.html 14:39:46 HIT 113077285
2021022111:57:13.html 14:39:47 MISS 120109922
2021022111:57:13.html 14:39:47 HIT 106796820
2021022111:57:18.html 14:39:47 MISS 199459238
2021022111:57:18.html 14:39:47 HIT 124987242
2021022111:57:23.html 14:39:47 MISS 145836871
2021022111:57:23.html 14:39:48 HIT 112579799
2021022111:57:28.html 14:39:48 MISS 144494681
2021022111:57:28.html 14:39:48 HIT 135627700
2021022111:57:33.html 14:39:48 MISS 126128098
2021022111:57:33.html 14:39:48 HIT 125561587
2021022111:57:38.html 14:39:49 MISS 132445671
2021022111:57:38.html 14:39:49 HIT 121129702
2021022111:57:43.html 14:39:49 MISS 129795219
2021022111:57:43.html 14:39:49 HIT 102128757
2021022111:57:48.html 14:39:49 MISS 134589478
2021022111:57:48.html 14:39:50 HIT 113849216
2021022111:57:53.html 14:39:50 MISS 126856000
2021022111:57:53.html 14:39:50 HIT 128994443
2021022111:57:58.html 14:39:50 MISS 133285900
2021022111:57:58.html 14:39:50 HIT 131774401
2021022111:58:03.html 14:39:51 MISS 132870711
2021022111:58:03.html 14:39:51 HIT 125264811
2021022111:58:08.html 14:39:51 MISS 132402165
2021022111:58:08.html 14:39:51 HIT 110567385
2021022111:58:13.html 14:39:51 MISS 122276400
2021022111:58:13.html 14:39:52 HIT 118930918
2021022111:58:18.html 14:39:52 MISS 142640299
2021022111:58:18.html 14:39:52 HIT 141029410
2021022111:58:23.html 14:39:52 MISS 138456792
2021022111:58:23.html 14:39:53 HIT 120259321
2021022111:58:28.html 14:39:53 MISS 120283598
2021022111:58:28.html 14:39:53 HIT 117621528
2021022111:58:33.html 14:39:53 MISS 126004659
2021022111:58:33.html 14:39:53 HIT 115250856
2021022111:58:38.html 14:39:53 MISS 130149589
2021022111:58:38.html 14:39:54 HIT 112967188
2021022111:58:43.html 14:39:54 MISS 134375228
2021022111:58:43.html 14:39:54 HIT 121563732
2021022111:58:48.html 14:39:54 MISS 174616656
2021022111:58:48.html 14:39:55 HIT 200057735
2021022111:58:53.html 14:39:55 MISS 156113560
2021022111:58:53.html 14:39:55 HIT 120939495
2021021819:33:50.html 14:39:55 MISS 132694535
2021021819:33:50.html 14:39:55 HIT 133650808
2021021819:33:55.html 14:39:56 MISS 162564732
2021021819:33:55.html 14:39:56 HIT 112189875
