CPU_Utilization Memory_Consumption Current_Time Disk_Space(mb) Brick_Space(mb) Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb) Heketi_Space(mb)
1.62 1.464 07:10:10 4.9 70 394 2.8 33
1.86 1.464 07:10:14 4.9 70 394 2.9 33
1.52 1.464 07:10:18 4.9 70 394 2.9 33
1.66 1.464 07:10:22 4.9 70 394 2.9 33
1.64 1.464 07:10:26 4.9 70 394 2.9 33
1.90 1.464 07:10:30 4.9 70 394 3.0 33
2.26 1.464 07:10:34 4.9 70 394 3.0 33
1.57 1.464 07:10:38 4.9 70 394 3.0 33
1.62 1.464 07:10:42 4.9 70 394 3.0 33
1.72 1.464 07:10:46 4.9 70 394 3.1 33
1.82 1.464 07:10:50 4.9 70 394 3.1 33
1.52 1.464 07:10:54 4.9 70 395 3.1 33
1.67 1.464 07:10:58 4.9 70 395 3.1 33
1.77 1.464 07:11:02 4.9 70 395 3.2 33
1.55 1.464 07:11:06 4.9 70 395 3.2 33
1.64 1.464 07:11:10 4.9 70 395 3.2 33
1.52 1.464 07:11:14 4.9 70 395 3.2 33
1.50 1.464 07:11:18 4.9 70 395 3.3 33
1.71 1.463 07:11:22 4.9 70 395 3.3 33
1.55 1.464 07:11:26 4.9 70 395 3.3 33
1.78 1.464 07:11:30 4.9 70 395 3.3 33
1.44 1.464 07:11:34 4.9 70 395 3.4 33
1.50 1.464 07:11:38 4.9 70 395 3.4 33
1.82 1.464 07:11:42 4.9 70 395 3.4 33
1.52 1.464 07:11:46 4.9 70 395 3.4 33
1.71 1.464 07:11:50 4.9 70 395 3.5 33
1.48 1.464 07:11:54 4.9 70 395 3.5 33
1.61 1.464 07:11:58 4.9 70 395 3.5 33
1.70 1.464 07:12:02 4.9 70 395 3.5 33
1.82 1.464 07:12:06 4.9 70 395 3.6 33
1.65 1.463 07:12:10 4.9 70 395 3.6 33
1.53 1.464 07:12:14 4.9 70 395 3.6 33
1.57 1.464 07:12:18 4.9 70 395 3.6 33
1.84 1.464 07:12:22 4.9 70 395 3.7 33
1.62 1.464 07:12:26 4.9 70 395 3.7 33
1.64 1.464 07:12:30 4.9 70 395 3.7 33
1.83 1.464 07:12:34 4.9 70 395 3.7 33
1.57 1.464 07:12:38 4.9 70 395 3.8 33
1.63 1.464 07:12:42 4.9 70 395 3.8 33
1.55 1.464 07:12:46 4.9 70 395 3.8 33
1.67 1.464 07:12:50 4.9 70 395 3.8 33
1.61 1.464 07:12:54 4.9 74 395 3.9 33
1.69 1.464 07:12:58 4.9 74 395 3.9 33
1.68 1.464 07:13:02 4.9 74 395 3.9 33
1.82 1.464 07:13:06 4.9 74 395 3.9 33
1.55 1.464 07:13:10 4.9 74 395 3.9 33
1.51 1.464 07:13:14 4.9 74 395 4.0 33
1.55 1.464 07:13:18 4.9 74 395 4.0 33
1.75 1.464 07:13:22 4.9 74 395 4.0 33
1.54 1.464 07:13:26 4.9 74 395 4.0 33
1.61 1.464 07:13:30 4.9 74 395 4.1 33
1.50 1.464 07:13:34 4.9 74 396 4.1 33
1.68 1.464 07:13:38 4.9 74 396 4.1 33
1.81 1.464 07:13:42 4.9 74 396 4.1 33
1.65 1.464 07:13:46 4.9 74 396 4.2 33
1.56 1.464 07:13:50 4.9 74 396 4.2 33
1.70 1.464 07:13:54 4.9 74 396 4.2 33
1.63 1.464 07:13:58 4.9 74 396 4.2 33
1.94 1.464 07:14:02 4.9 74 396 4.3 33
1.83 1.464 07:14:06 4.9 74 396 4.3 33
1.67 1.464 07:14:10 4.9 74 396 4.3 33
1.51 1.464 07:14:14 4.9 74 396 4.3 33
1.72 1.463 07:14:18 4.9 74 396 4.4 33
1.58 1.464 07:14:22 4.9 74 396 4.4 33
1.50 1.464 07:14:26 4.9 74 396 4.4 33
1.78 1.464 07:14:30 4.9 74 396 4.4 33
1.55 1.464 07:14:34 4.9 74 396 4.5 33
1.58 1.464 07:14:38 4.9 74 396 4.5 33
1.63 1.464 07:14:42 4.9 74 396 4.5 33
1.77 1.463 07:14:46 4.9 74 396 4.5 33
1.56 1.464 07:14:50 4.9 74 396 4.6 33
1.68 1.464 07:14:54 4.9 74 396 4.6 33
1.60 1.464 07:14:58 4.9 74 396 4.6 33
2.17 1.464 07:15:02 4.9 74 396 4.6 33
1.79 1.464 07:15:06 4.9 74 396 4.7 33
1.72 1.464 07:15:10 4.9 74 396 4.7 33
1.58 1.464 07:15:14 4.9 74 396 4.7 33
1.46 1.464 07:15:18 4.9 74 396 4.7 33
1.61 1.464 07:15:22 4.9 74 396 4.8 33
1.46 1.464 07:15:26 4.9 74 396 4.8 33
1.65 1.463 07:15:30 4.9 74 396 4.8 33
1.62 1.464 07:15:34 4.9 74 396 4.8 33
1.61 1.464 07:15:38 4.9 74 396 4.9 33
1.58 1.464 07:15:42 4.9 74 396 4.9 33
1.59 1.464 07:15:46 4.9 74 396 4.9 33
1.49 1.464 07:15:50 4.9 74 396 4.9 33
1.38 1.463 07:15:54 4.9 74 396 5.0 33
1.85 1.464 07:15:58 4.9 74 396 5.0 33
1.65 1.464 07:16:02 4.9 74 396 5.0 33
1.58 1.464 07:16:06 4.9 74 396 5.0 33
1.48 1.464 07:16:10 4.9 74 396 5.1 33
1.45 1.464 07:16:14 4.9 74 396 5.1 33
1.54 1.464 07:16:18 4.9 74 397 5.1 33
1.67 1.464 07:16:22 4.9 74 397 5.1 33
1.59 1.464 07:16:26 4.9 74 397 5.2 33
1.46 1.464 07:16:30 4.9 74 397 5.2 33
1.41 1.464 07:16:34 4.9 74 397 5.2 33
1.98 1.464 07:16:38 4.9 74 397 5.2 33
1.71 1.464 07:16:42 4.9 74 397 5.2 33
