Current_Time Consuming_Time(ms) Producing_Time(ms) Response_Time(ms) Message_Size(bytes)
10:43:39 .717274 .026470 72.843646 864
10:43:39 .717274 .099337 72.843646 864
10:43:39 .717274 .151874 72.843646 864
10:43:39 .219163 .239904 73.29043 864
10:43:39 .219163 .295322 73.29043 864
10:43:39 .219163 .350376 73.29043 864
10:43:39 .219163 .404434 73.29043 864
10:43:39 .219163 .464202 73.29043 864
10:43:39 .219163 .536055 73.29043 864
10:43:39 .219163 .590781 73.29043 864
10:43:39 .219163 .641080 73.29043 864
10:43:39 .219163 .694722 73.29043 864
10:43:39 .719559 .753087 73.736737 864
10:43:39 .719559 .817873 73.736737 864
10:43:39 .719559 .868499 73.736737 864
10:43:39 .719559 .921330 73.736737 864
10:43:39 .719559 .972729 73.736737 864
10:43:40 .719559 .030803 73.736737 864
10:43:40 .719559 .111721 73.736737 864
10:43:40 .719559 .162550 73.736737 864
10:43:40 .719559 .215183 73.736737 864
10:43:40 .223235 .273942 74.18424 864
10:43:40 .223235 .358293 74.18424 864
10:43:40 .223235 .416026 74.18424 864
10:43:40 .223235 .467439 74.18424 864
10:43:40 .223235 .520523 74.18424 864
10:43:40 .223235 .575959 74.18424 864
10:43:40 .223235 .653631 74.18424 864
10:43:40 .223235 .707132 74.18424 864
10:43:40 .724809 .759160 74.618489 864
10:43:40 .724809 .813324 74.618489 864
10:43:40 .724809 .882302 74.618489 864
10:43:40 .724809 .936779 74.618489 864
10:43:40 .724809 .986838 74.618489 864
10:43:41 .724809 .043677 74.618489 864
10:43:41 .724809 .102050 74.618489 864
10:43:41 .724809 .175546 74.618489 864
10:43:41 .226174 .249710 75.058613 864
10:43:41 .226174 .303643 75.058613 864
10:43:41 .226174 .355318 75.058613 864
10:43:41 .226174 .418329 75.058613 864
10:43:41 .226174 .480646 75.058613 864
10:43:41 .226174 .532755 75.058613 864
10:43:41 .226174 .583490 75.058613 864
10:43:41 .226174 .632711 75.058613 864
10:43:41 .226174 .697775 75.058613 864
10:43:41 .726958 .759125 75.494161 864
10:43:41 .726958 .811707 75.494161 864
10:43:41 .726958 .863370 75.494161 864
10:43:41 .726958 .914621 75.494161 864
10:43:41 .726958 .978452 75.494161 864
10:43:42 .726958 .037895 75.494161 864
10:43:42 .726958 .092564 75.494161 864
10:43:42 .726958 .153220 75.494161 864
10:43:42 .726958 .207926 75.494161 864
10:43:42 .229948 .288974 75.936607 864
10:43:42 .229948 .341520 75.936607 864
10:43:42 .229948 .393153 75.936607 864
10:43:42 .229948 .443973 75.936607 864
10:43:42 .229948 .496006 75.936607 864
10:43:42 .229948 .573193 75.936607 864
10:43:42 .229948 .625384 75.936607 864
10:43:42 .229948 .679635 75.936607 864
10:43:42 .730781 .733647 76.382195 864
10:43:42 .730781 .806237 76.382195 864
10:43:42 .730781 .881141 76.382195 864
10:43:42 .730781 .933778 76.382195 864
10:43:42 .730781 .986327 76.382195 864
10:43:43 .730781 .039665 76.382195 864
10:43:43 .730781 .112424 76.382195 864
10:43:43 .730781 .173975 76.382195 864
