Time CPU_Usage Hit_Miss Squid_Memory_Usage Request_Rate/(Min) Squid_Disk_Usage Cache_Memory_Usage Response_Time
20:49:49 0.01 MISS 665040 0.4 223 896 1531
20:49:54 0.01 MISS 665040 0.5 223 900 1557
20:49:59 0.01 MISS 665040 0.5 223 904 1545
20:50:04 0.01 MISS 665040 0.5 223 908 1545
20:50:09 0.01 MISS 665440 0.5 223 912 1572
20:50:14 0.01 MISS 665440 0.5 223 916 1502
20:50:19 0.01 MISS 665440 0.5 223 920 1518
20:50:24 0.01 MISS 665440 0.5 223 924 1597
20:50:29 0.01 MISS 665440 0.5 223 928 1541
20:50:34 0.01 MISS 665440 0.5 223 932 1544
20:50:39 0.01 MISS 665440 0.5 223 936 1541
20:50:44 0.01 MISS 665440 0.5 223 940 1510
20:50:49 0.01 MISS 665440 0.5 223 944 1558
20:50:54 0.01 MISS 665440 0.5 223 948 1548
20:50:59 0.01 MISS 665440 0.5 223 952 1520
20:51:04 0.01 MISS 665440 0.5 223 956 1548
20:51:09 0.01 MISS 665440 0.5 223 960 1548
20:51:14 0.01 MISS 665440 0.5 223 964 1537
20:51:19 0.01 MISS 665440 0.5 223 968 1533
20:51:24 0.01 MISS 665440 0.5 223 972 1586
20:51:30 0.01 MISS 665840 0.5 223 976 1538
20:51:35 0.01 MISS 665840 0.5 223 980 1568
20:51:40 0.01 MISS 665840 0.5 223 984 1538
20:51:45 0.01 MISS 665840 0.5 224 988 1565
20:51:50 0.01 MISS 665840 0.5 224 992 1537
20:51:55 0.01 MISS 665840 0.5 224 996 1538
20:52:00 0.01 MISS 665840 0.5 224 1000 1561
20:52:05 0.01 MISS 665840 0.5 224 1004 1514
20:52:10 0.01 MISS 665840 0.5 224 1008 1529
20:52:15 0.01 MISS 665840 0.5 224 1012 1542
20:52:20 0.01 MISS 665840 0.5 224 1016 1541
20:52:25 0.01 MISS 665840 0.5 224 1020 1576
20:52:30 0.01 MISS 665840 0.5 224 1024 1559
20:52:35 0.01 MISS 665840 0.5 224 1028 1529
20:52:40 0.01 MISS 665840 0.5 224 1032 1542
20:52:45 0.01 MISS 665840 0.5 224 1036 1532
20:52:50 0.01 MISS 666240 0.5 224 1040 1565
20:52:55 0.01 MISS 666240 0.5 224 1044 1575
20:53:00 0.01 MISS 666240 0.5 224 1048 1533
20:53:05 0.01 MISS 666240 0.5 224 1052 1559
20:53:10 0.01 MISS 666240 0.5 224 1056 1520
20:53:15 0.01 MISS 666240 0.5 224 1060 1512
20:53:21 0.01 MISS 666240 0.5 224 1064 1536
20:53:26 0.01 MISS 666240 0.5 224 1068 1526
20:53:31 0.01 MISS 666240 0.5 224 1072 1578
20:53:36 0.01 MISS 666240 0.5 224 1076 1574
20:53:41 0.01 MISS 666240 0.5 224 1080 1527
20:53:46 0.01 MISS 666240 0.5 224 1084 1573
20:53:51 0.01 MISS 666240 0.5 224 1088 1539
20:53:56 0.01 MISS 666240 0.5 224 1092 1563
20:54:01 0.01 MISS 666240 0.5 224 1096 1613
20:54:06 0.01 MISS 666240 0.5 224 1100 1505
20:54:11 0.01 MISS 666640 0.5 224 1104 1555
20:54:16 0.01 MISS 666640 0.5 224 1108 1566
20:54:21 0.01 MISS 666640 0.5 224 1112 1499
20:54:26 0.01 MISS 666640 0.5 224 1116 1552
20:54:31 0.01 MISS 666640 0.5 224 1120 1509
20:54:36 0.01 MISS 666640 0.5 224 1124 1562
20:54:41 0.01 MISS 666640 0.5 224 1128 1555
20:54:46 0.01 MISS 666640 0.5 224 1132 1555
20:54:51 0.01 MISS 666640 0.5 224 1136 1541
20:54:57 0.01 MISS 666640 0.5 224 1140 1558
20:55:02 0.01 MISS 666640 0.5 224 1144 1528
20:55:07 0.01 MISS 666640 0.5 224 1148 1538
20:55:12 0.01 MISS 666640 0.5 224 1152 1551
20:55:17 0.01 MISS 666640 0.5 224 1156 1505
20:55:22 0.01 MISS 666640 0.5 224 1160 1567
20:55:27 0.01 MISS 666640 0.5 224 1164 1522
20:55:32 0.01 MISS 667040 0.5 224 1168 1570
20:55:37 0.01 MISS 667040 0.5 224 1172 1581
20:55:42 0.01 MISS 667040 0.5 224 1176 1540
20:55:47 0.01 MISS 667040 0.5 224 1180 1579
20:55:52 0.01 MISS 667040 0.5 224 1184 1535
20:55:57 0.01 MISS 667040 0.5 224 1188 1535
20:56:02 0.01 MISS 667040 0.5 224 1192 1559
20:56:07 0.01 MISS 667040 0.5 224 1196 1510
20:56:12 0.01 MISS 667040 0.5 224 1200 1508
20:56:17 0.01 MISS 667040 0.5 224 1204 1537
20:56:22 0.01 MISS 667040 0.5 224 1208 1538
20:56:27 0.01 MISS 667040 0.5 224 1212 1533
20:56:32 0.01 MISS 667040 0.5 224 1216 1573
20:56:37 0.01 MISS 667040 0.5 224 1220 1546
20:56:43 0.01 MISS 667040 0.5 224 1224 1554
20:56:48 0.01 MISS 667040 0.5 224 1228 1548
20:56:53 0.01 MISS 667440 0.5 224 1232 1536
20:56:58 0.01 MISS 667440 0.5 224 1236 1569
20:57:03 0.01 MISS 667440 0.5 224 1240 1530
20:57:08 0.01 MISS 667440 0.5 224 1244 1560
20:57:13 0.01 MISS 667440 0.5 224 1248 1543
20:57:18 0.01 MISS 667440 0.5 224 1252 1528
20:57:23 0.01 MISS 667440 0.5 224 1256 1552
20:57:28 0.01 MISS 667440 0.5 224 1260 1531
20:57:33 0.01 MISS 667440 0.5 224 1264 1529
20:57:38 0.01 MISS 667440 0.5 224 1268 1585
20:57:43 0.01 MISS 667440 0.5 224 1272 1527
20:57:48 0.01 MISS 667440 0.6 224 1276 1530
20:57:53 0.01 MISS 667440 0.6 224 1280 1577
20:57:58 0.01 MISS 667440 0.6 224 1284 1541
20:58:03 0.01 MISS 667440 0.6 224 1288 1576
20:58:08 0.01 MISS 667440 0.6 224 1292 1574
20:58:13 0.01 MISS 667840 0.6 224 1296 1540
20:58:19 0.01 MISS 667840 0.6 224 1300 1572
20:58:24 0.01 MISS 667840 0.6 224 1304 1566
20:58:29 0.01 MISS 667840 0.6 224 1308 1564
20:58:34 0.01 MISS 667840 0.6 224 1312 1565
20:58:39 0.01 MISS 667840 0.6 224 1316 1544
20:58:44 0.01 MISS 667840 0.6 224 1320 1572
20:58:49 0.01 MISS 667840 0.6 224 1324 1541
20:58:54 0.01 MISS 667840 0.6 224 1328 1534
20:58:59 0.01 MISS 667840 0.6 224 1332 1586
20:59:04 0.01 MISS 667840 0.6 224 1336 1534
20:59:09 0.01 MISS 667840 0.6 224 1340 1570
20:59:14 0.01 MISS 667840 0.6 224 1344 1562
20:59:19 0.01 MISS 667840 0.6 224 1348 1533
20:59:24 0.01 MISS 667840 0.6 224 1352 1641
20:59:29 0.01 MISS 667840 0.6 224 1356 1579
20:59:34 0.01 MISS 668240 0.6 224 1360 1555
20:59:40 0.01 MISS 668240 0.6 224 1364 1555
20:59:45 0.01 MISS 668240 0.6 224 1368 1543
20:59:50 0.01 MISS 668240 0.6 224 1372 1564
20:59:55 0.01 MISS 668240 0.6 224 1376 1541
21:00:00 0.01 MISS 668240 0.6 224 1380 1552
21:00:05 0.01 MISS 668240 0.6 224 1384 1555
21:00:10 0.01 MISS 668240 0.6 224 1388 1536
21:00:15 0.01 MISS 668240 0.6 224 1392 1524
21:00:20 0.01 MISS 668240 0.6 224 1396 1537
21:00:25 0.01 MISS 668240 0.6 224 1400 1534
21:00:30 0.01 MISS 668240 0.6 224 1404 1603
21:00:35 0.01 MISS 668240 0.6 224 1408 1522
21:00:40 0.01 MISS 668240 0.6 224 1412 1528
21:00:45 0.01 MISS 668240 0.6 224 1416 1547
21:00:50 0.01 MISS 668240 0.6 224 1420 1549
21:00:55 0.01 MISS 668640 0.6 224 1424 1560
21:01:00 0.01 MISS 668640 0.6 224 1428 1535
21:01:05 0.01 MISS 668640 0.6 224 1432 1524
21:01:10 0.01 MISS 668640 0.6 224 1436 1588
21:01:15 0.01 MISS 668640 0.6 224 1440 1512
21:01:20 0.01 MISS 668640 0.6 224 1444 1529
21:01:26 0.01 MISS 668640 0.6 225 1448 1582
21:01:31 0.01 MISS 668640 0.6 225 1452 1533
21:01:36 0.01 MISS 668640 0.6 225 1456 1569
21:01:41 0.01 MISS 668640 0.6 225 1460 1520
21:01:46 0.01 MISS 668640 0.6 225 1464 1548
21:01:51 0.01 MISS 668640 0.6 225 1468 1598
21:01:56 0.01 MISS 668640 0.6 225 1472 1553
21:02:01 0.01 MISS 668640 0.6 225 1476 1573
21:02:06 0.01 MISS 668640 0.6 225 1480 1540
21:02:11 0.01 MISS 668640 0.6 225 1484 1514
21:02:16 0.01 MISS 669040 0.6 225 1488 1570
21:02:21 0.01 MISS 669040 0.6 225 1492 1531
21:02:26 0.01 MISS 669040 0.6 225 1496 1554
21:02:31 0.01 MISS 669040 0.6 225 1500 1552
21:02:36 0.01 MISS 669040 0.6 225 1504 1554
21:02:41 0.01 MISS 669040 0.6 225 1508 1569
21:02:46 0.01 MISS 669040 0.6 225 1512 1523
21:02:51 0.01 MISS 669040 0.6 225 1516 1532
21:02:57 0.01 MISS 669040 0.6 225 1520 1588
21:03:02 0.01 MISS 669040 0.6 225 1524 1541
21:03:07 0.01 MISS 669040 0.6 225 1528 1589
21:03:12 0.01 MISS 669040 0.6 225 1532 1521
21:03:17 0.01 MISS 669040 0.6 225 1536 1526
21:03:22 0.01 MISS 669040 0.6 225 1540 1588
21:03:27 0.01 MISS 669040 0.6 225 1544 1519
21:03:32 0.01 MISS 669040 0.6 225 1548 1575
21:03:37 0.01 MISS 669440 0.6 225 1552 1565
21:03:42 0.01 MISS 669440 0.6 225 1556 1546
21:03:47 0.01 MISS 669440 0.6 225 1560 1546
21:03:52 0.01 MISS 669440 0.6 225 1564 1561
21:03:57 0.01 MISS 669440 0.6 225 1568 1533
21:04:02 0.01 MISS 669440 0.6 225 1572 1601
21:04:07 0.01 MISS 669440 0.6 225 1576 1528
21:04:12 0.01 MISS 669440 0.6 225 1580 1513
21:04:17 0.01 MISS 669440 0.6 225 1584 1599
21:04:22 0.01 MISS 669440 0.6 225 1588 1529
21:04:28 0.01 MISS 669440 0.6 225 1592 1603
21:04:33 0.01 MISS 669440 0.6 225 1596 1558
21:04:38 0.01 MISS 669440 0.6 225 1600 1557
21:04:43 0.01 MISS 669440 0.6 225 1604 1564
21:04:48 0.01 MISS 669440 0.6 225 1608 1560
21:04:53 0.01 MISS 669440 0.6 225 1612 1551
21:04:58 0.01 MISS 669840 0.6 225 1616 1577
21:05:03 0.01 MISS 669840 0.6 225 1620 1509
21:05:08 0.01 MISS 669840 0.6 225 1624 1545
21:05:13 0.01 MISS 669840 0.6 225 1628 1542
21:05:18 0.01 MISS 669840 0.6 225 1632 1543
21:05:23 0.01 MISS 669840 0.6 225 1636 1594
21:05:28 0.01 MISS 669840 0.6 225 1640 1557
21:05:33 0.01 MISS 669840 0.6 225 1644 1572
21:05:38 0.01 MISS 669840 0.6 225 1648 1563
21:05:43 0.01 MISS 669840 0.7 225 1652 1525
21:05:49 0.01 MISS 669840 0.7 225 1656 1558
21:05:54 0.01 MISS 669840 0.7 225 1660 1536
21:05:59 0.01 MISS 669840 0.7 225 1664 1573
21:06:04 0.01 MISS 669840 0.7 225 1668 1579
21:06:09 0.01 MISS 669840 0.7 225 1672 1551
21:06:14 0.01 MISS 669840 0.7 225 1676 1557
21:06:19 0.01 MISS 670240 0.7 225 1680 1565
21:06:24 0.01 MISS 670240 0.7 225 1684 1549
21:06:29 0.01 MISS 670240 0.7 225 1688 1606
21:06:34 0.01 MISS 670240 0.7 225 1692 1525
21:06:39 0.01 MISS 670240 0.7 225 1696 1520
21:06:44 0.01 MISS 670240 0.7 225 1700 1557
21:06:49 0.01 MISS 670240 0.7 225 1704 1520
21:06:54 0.01 MISS 670240 0.7 225 1708 1615
