Time CPU_Usage Hit_Miss Squid_Memory_Usage Request_Rate/(Min) Squid_Disk_Usage Cache_Memory_Usage Response_Time
22:32:39 0.01 HIT 687440 1.5 231 4492 1534
22:32:44 0.01 HIT 687440 1.5 231 4492 1586
22:32:49 0.01 HIT 687440 1.5 231 4492 1607
22:32:54 0.01 HIT 687440 1.5 231 4492 1547
22:32:59 0.01 HIT 687440 1.5 231 4492 1533
22:33:04 0.01 HIT 687440 1.5 231 4492 1565
22:33:09 0.01 HIT 687440 1.5 231 4492 1549
22:33:15 0.01 HIT 687440 1.5 231 4492 1613
22:33:20 0.01 HIT 687440 1.5 231 4492 1533
22:33:25 0.01 HIT 687440 1.5 231 4492 1579
22:33:30 0.01 HIT 687440 1.5 231 4492 1559
22:33:35 0.01 HIT 687440 1.5 231 4492 1542
22:33:40 0.01 HIT 687440 1.5 231 4492 1579
22:33:45 0.01 HIT 687440 1.5 231 4492 1542
22:33:50 0.01 HIT 687440 1.5 231 4492 1544
22:33:55 0.01 HIT 687440 1.5 231 4492 1557
22:34:00 0.01 HIT 687440 1.5 231 4492 1552
22:34:05 0.01 HIT 687440 1.5 231 4492 1594
22:34:10 0.01 HIT 687440 1.5 231 4492 1575
22:34:15 0.01 HIT 687440 1.5 231 4492 1531
22:34:20 0.01 HIT 687440 1.5 231 4492 1559
22:34:25 0.01 HIT 687440 1.5 231 4492 1520
22:34:30 0.01 HIT 687440 1.5 231 4492 1572
22:34:36 0.01 HIT 687440 1.5 231 4492 1558
22:34:41 0.01 HIT 687440 1.5 231 4492 1530
22:34:46 0.01 HIT 687440 1.5 231 4492 1605
22:34:51 0.01 HIT 687440 1.5 231 4492 1544
22:34:56 0.01 HIT 687440 1.5 231 4492 1547
22:35:01 0.01 HIT 687440 1.5 231 4492 1584
22:35:06 0.01 HIT 687440 1.5 231 4492 1573
22:35:11 0.01 HIT 687440 1.5 231 4492 1579
22:35:16 0.01 HIT 687440 1.5 231 4492 1556
22:35:21 0.01 HIT 687440 1.5 231 4492 1545
22:35:26 0.01 HIT 687440 1.5 231 4492 1560
22:35:31 0.01 HIT 687440 1.5 231 4492 1528
22:35:36 0.01 HIT 687440 1.5 231 4492 1569
22:35:41 0.01 HIT 687440 1.5 231 4492 1567
22:35:46 0.01 HIT 687440 1.5 231 4492 1551
22:35:51 0.01 HIT 687440 1.5 231 4492 1568
22:35:57 0.01 HIT 687440 1.5 231 4492 1578
22:36:02 0.01 HIT 687440 1.5 231 4492 1620
22:36:07 0.01 HIT 687440 1.5 231 4492 1583
22:36:12 0.01 HIT 687440 1.5 231 4492 1574
22:36:17 0.01 HIT 687440 1.5 231 4492 1597
22:36:22 0.01 HIT 687440 1.5 231 4492 1543
22:36:27 0.01 HIT 687440 1.5 231 4492 1574
22:36:32 0.01 HIT 687440 1.5 231 4492 1521
22:36:37 0.01 HIT 687440 1.5 231 4492 1548
22:36:42 0.01 HIT 687440 1.5 231 4492 1609
22:36:47 0.01 HIT 687440 1.5 231 4492 1554
22:36:52 0.01 HIT 687440 1.5 231 4492 1554
22:36:57 0.01 HIT 687440 1.5 231 4492 1585
22:37:03 0.01 HIT 687440 1.5 231 4492 1542
22:37:08 0.01 HIT 687440 1.5 231 4492 1579
22:37:13 0.01 HIT 687440 1.5 231 4492 1552
22:37:18 0.01 HIT 687440 1.5 231 4492 1529
22:37:23 0.01 HIT 687440 1.6 231 4492 1569
22:37:28 0.01 HIT 687440 1.6 231 4492 1557
22:37:33 0.01 HIT 687440 1.6 231 4492 1552
22:37:38 0.01 HIT 687440 1.6 231 4492 1597
22:37:43 0.01 HIT 687440 1.6 231 4492 1549
22:37:48 0.01 HIT 687440 1.6 231 4492 1608
22:37:53 0.01 HIT 687440 1.6 231 4492 1548
22:37:58 0.01 HIT 687440 1.6 231 4492 1593
22:38:03 0.01 HIT 687440 1.6 231 4492 1548
22:38:08 0.01 HIT 687440 1.6 231 4492 1532
22:38:13 0.01 HIT 687440 1.6 231 4492 1598
22:38:18 0.01 HIT 687440 1.6 231 4492 1530
22:38:24 0.01 HIT 687440 1.6 231 4492 1534
22:38:29 0.01 HIT 687440 1.6 231 4492 1594
22:38:34 0.01 HIT 687440 1.6 231 4492 1540
22:38:39 0.01 HIT 687440 1.6 231 4492 1541
22:38:44 0.01 HIT 687440 1.6 231 4492 1565
22:38:49 0.01 HIT 687440 1.6 231 4492 1585
